涉及疾病,涉及疾病的编号,疾病描述
Epidermal nevus,H02627,Epidermal nevus is hamartomatous lesions derived from the epidermis and/or adnexal structures of the skin. It is often present at birth or within the first few years of life.
Schimmelpenning-Feuerstein-Mims syndrome,H02628,"Schimmelpenning-Feuerstein-Mims syndrome is a rare multisystem disorder characterized by sebaceous nevus associated with extracutaneous abnormalities affecting the brain, eyes, and bones."
Acute myeloid leukemia,H00003,"Acute myeloid leukemia (AML) is a disease that is characterized by uncontrolled proliferation of clonal neoplastic cells and accumulation in the bone marrow of blasts with an impaired differentiation program. AML accounts for approximately 80% of all adult leukemias and remains the most common cause of leukemia death. Two major types of genetic events have been described that are crucial for leukemic transformation. A proposed necessary first event is disordered cell growth and upregulation of cell survival genes. The most common of these activating events were observed in the RTK Flt3, in N-Ras and K-Ras, in Kit, and sporadically in other RTKs. Alterations in myeloid transcription factors governing hematopoietic differentiation provide second necessary event for leukemogenesis. Transcription factor fusion proteins such as PML-RARalpha (in Acute promyelocytic leukemia, a subtype of AML), AML-ETO or PLZF-RARalpha block myeloid cell differentiation by repressing target genes. In other cases, the transcription factors themselves are mutated."
Multiple myeloma,H00010,"Multiple myeloma is a disorder in which malignant plasma cells accumulate, generally derived from one clone in the bone marrow. Intricate interactions occur between the bone-marrow microenvironment and the myeloma cells, frequently causing bone destruction, which in turn stimulates tumor growth. Often it is preceded by a premalignant tumor called monoclonal gammopathy of undetermined significance (MGUS). Multiple oncogenic events have been identified that have contributed to the pathogenesis of myeloma. Among the earliest genetic events are translocations of the immunoglobulin heavy-chain gene locus, which leads to dysregulation of oncogenes at translocation partner regions (cyclin D1 at 11q13, FGFR3/MMSET at 4p16.3, c-MAF at 16q23, and cyclin D3 at 6p21), and deletions of 13q14, the site of a putative tumor suppressor gene. Additional molecular events include epigenetic changes and activation of oncogenes (mutations of N-RAS and K-RAS, and changes in c-MYC), which are usually associated with disease progression."
Non-small cell lung cancer,H00014,"Lung cancer is a leading cause of cancer death among men and women in industrialized countries. Non-small-cell lung cancer (NSCLC) accounts for approximately 85% of lung cancer and represents a heterogeneous group of cancers, consisting mainly of squamous cell (SCC), adeno (AC) and large-cell carcinoma. Molecular mechanisms altered in NSCLC include activation of oncogenes, such as K-RAS, EGFR and EML4-ALK, and inactivation of tumorsuppressor genes, such as p53, p16INK4a, RAR-beta, and RASSF1. Point mutations within the K-RAS gene inactivate GTPase activity and the p21-RAS protein continuously transmits growth signals to the nucleus. Mutations or overexpression of EGFR leads to a proliferative advantage. EML4-ALK fusion leads to constitutive ALK activation, which causes cell proliferation, invasion, and inhibition of apoptosis. Inactivating mutation of p53 can lead to more rapid proliferation and reduced apoptosis. The protein encoded by the p16INK4a inhibits formation of CDK-cyclin-D complexes by competitive binding of CDK4 and CDK6. Loss of p16INK4a expression is a common feature of NSCLC. RAR-beta is a nuclear receptor that bears vitamin-A-dependent transcriptional activity. RASSF1A is able to form heterodimers with Nore-1, an RAS effector. Therefore loss of RASSF1A might shift the balance of RAS activity towards a growth-promoting effect."
Oral cancer,H00016,"Oral cancer refers to a subgroup of head and neck malignancies that develop at the lips, tongue, salivary glands, gingiva, floor of the mouth, oropharynx, buccal surfaces and other intra-oral locations, according to the International Classification of Diseases. Nevertheless, the term is synonymous to squamous cell carcinoma (SCC) of oral mucosal origin that accounts for more than 90% of all malignant presentations at the aforementioned anatomical sites. Worldwide, oral SCC (OSCC) is the sixth most common cancer; more than 300,000 new cases are diagnosed each year. The development of OSCC is a multistep process requiring the accumulation of multiple genetic alterations, influenced by a patient's genetic predisposition as well as by environmental influences, including tobacco, alcohol, chronic inflammation, and viral infection. The genetic changes include activation of the epidermal growth factor receptor (EGFR), alterations of tumor suppressors p53 and p16, and cyclin D1 overexpression."
Gastric cancer,H00018,"Gastric cancer (GC) is one of the world's most common cancers. According to Lauren's histological classification gastric cancer is divided into two distinct histological groups - the intestinal and diffuse types. Several genetic changes have been identified in intestinal-type GC. The intestinal metaplasia is characterized by mutations in p53 gene, reduced expression of retinoic acid receptor beta (RAR-beta) and hTERT expression. Gastric adenomas furthermore display mutations in the APC gene, reduced p27 expression and cyclin E amplification. In addition, amplification and overexpression of c-ErbB2, reduced TGF-beta receptor type I (TGFBRI) expression and complete loss of p27 expression are commonly observed in more advanced GC. The main molecular changes observed in diffuse-type GCs include loss of E-cadherin function by mutations in CDH1and amplification of MET and FGFR2F."
Pancreatic cancer,H00019,"Infiltrating ductal adenocarcinoma is the most common malignancy of the pancreas. When most investigators use the term 'pancreatic cancer' they are referring to pancreatic ductal adenocarcinoma (PDA). Normal duct epithelium progresses to infiltrating cancer through a series of histologically defined precursors. The overexpression of HER-2/neu and activating point mutations in the K-ras gene occur early, inactivation of the p16 gene at an intermediate stage, and the inactivation of p53, SMAD4, and BRCA2 occur relatively late. Activated K-ras engages multiple effector pathways. Although EGF receptors are conventionally regarded as upstream activators of RAS proteins, they can also act as RAS signal transducers via RAS-induced autocrine activation of the EGFR family ligands. Moreover, PDA shows extensive genomic instability and aneuploidy. Telomere attrition and mutations in p53 and BRCA2 are likely to contribute to these phenotypes. Inactivation of the SMAD4 tumour suppressor gene leads to loss of the inhibitory influence of the transforming growth factor-beta signalling pathway."
Endometrial cancer,H00026,"Endometrial cancer (EC) is the most common gynaecological malignancy and the fourth most common malignancy in women in the developed world after breast, colorectal and lung cancer. Two types of endometrial carcinoma are distinguished with respect to biology and clinical course. Type-I carcinoma is related to hyperestrogenism by association with endometrial hyperplasia, frequent expression of estrogen and progesterone receptors and younger age, whereas type-II carcinoma is unrelated to estrogen, associated with atrophic endometrium, frequent lack of estrogen and progesterone receptors and older age. The morphologic differences in these cancers are mirrored in their molecular genetic profile with type I showing defects in DNA-mismatch repair and mutations in PTEN, K-ras, and beta-catenin, and type II showing aneuploidy, p53 mutations, and her2/neu amplification."
Ovarian cancer,H00027,"Ovarian cancer is the sixth most common cancer and the fifth leading cause of cancer-related death among women in developed countries. Approximately 90% of human ovarian cancer arises within the ovarian surface epithelium (OSE), with the rest originating from granulosa cells or, rarely, stroma or germ cells. Ovarian epithelial tumors are divided into mucinous, serous, endometrioid, and clear cell subtypes. Approximately 10% of ovarian cancers arise in women who have inherited mutations in cancer susceptibility genes (BRCA1 or BRCA2). The vast majority of ovarian cancers are sporadic, resulting from the accumulation of genetic damage over a lifetime. Several specific genes involved in ovarian carcinogenesis have been identified, including the p53 tumor suppressor gene and ERBB2 and PIK3CA oncogenes."
Kaposi sarcoma,H00041,"Kaposi sarcoma (KS) is an angioproliferative disease classified into classic KS, endemic KS, iatrogenic KS, and HIV-associated KS (HIV-KS), however, they share the same histological traits and are all associated with infection by the human herpesvirus 8 (HHV8; also known as KSHV). Evidence indicates that KS progression occurs upon the deregulated expression of anti-apoptotic genes (Bcl-2), oncogenes (c-myc, c-int, ras) and oncosuppressor genes (TP53), and is associated with the long-lasting expression of HHV8 latency genes (LANA, v-cyc D, v-FLIP, Kaposin). All these genes are, in fact, expressed or altered in most KS spindle cells in the nodular-late stage of KS. Bcl-2 acts as a major KS progression factor, and TP53 and c-myc may also have a role in disease progression. HHV8 latency gene products may be involved in KS progression due to their capability of promoting cell growth by direct effects or antiapoptotic effects."
Cholangiocarcinoma,H00046,"Cholangiocarcinoma is a highly malignant neoplasm that carries a poor prognosis and lacks effective therapy. It is the second most common primary hepatic tumor, and it is increasing in incidence and carries a high mortality. The tumor arises from the ductular epithelium of the biliary tree, either within the liver (intrahepatic cholangiocarcinoma: ICC) or more commonly from the extrahepatic bile ducts (extrahepatic cholangiocarcinoma). Several studies have demonstrated mutations resulting in overexpression of K-ras and p53 genes. These genetic alterations are associated with a more aggressive phenotype in this cancer. Many reports have implicated overexpression of the tyrosine kinase proto-oncogenes c-erbB-2 (HER-2/neu) and c-Met, as well as cyclo-oxygenase-2 (COX-2) activity in intrahepatic cholangiocarcinoma."
Gallbladder cancer,H00047,"Gallbladder cancer (GBC) is a relatively uncommon neoplasm, however its prognosis is poor with less than a 5% 5-year survival rate. There are considerable geographic differences in its incidence and etiology. Two main pathways of GBC pathogenesis have been identified. The most common is associated with gallstones and chronic inflammation of the gallbladder, whereas a second, less frequent pathway is associated with a congenital abnormality of the pancreatic bile-duct junction, which is particularly common in Japan. TP53 inactivation has an important and early role in GBC associated with gallstones and chronic inflammation. Although KRAS mutations are rarely detected in GBC associated with gallstones, they are frequent and early events in tumors associated with congenital abnormality of the pancreatic bile-duct junction."
Syndromic craniosynostoses,H00458,Craniosynostosis is the premature fusion of the cranial sutures and secondary distortion of skull shape. Syndromic craniosynostosis typically involves cranial sutures plus central nervous system and extracranial skeletal changes. The genes most frequently mutated are FGFRs.
Hepatic angiosarcoma,H01557,"Angiosarcoma represents 1 to 2% of soft tissue tumors. It originates from endothelial cells of small blood vessels and may affect a variety of organs, including the retroperitoneum, skeletal muscle, subcutis, liver, heart and breast. Primary hepatic angiosarcomas (HAS) are much rare tumors, with worse prognosis compared with other angiosarcomas. HAS has been found to be caused by occupational exposure to vinyl chloride (VC) monomer since 1970, and the number of VC-associated HAS cases reported up to the end of 1998 was 197 worldwide. Exposure of VC connects with a series of mechanistic events leading to carcinogenic outcome; mutations of K-ras and p53 are also detected."
Noonan syndrome,H01738,"Noonan syndrome (NS) is an autosomal dominant disorder characterised by short stature, craniofacial dysmorphism, congenital cardiac defects, cryptorchidism in men, coagulation defects, and neurocognitive delay. In addition, individuals with NS have an increased risk of developing cancer. NS is caused by germline mutations in genes that encode components or regulators of the Ras/MAPK pathway. Heterozygous, pathogenic variants in 9 known genes account for approximately 80% of cases. The most common gene associated with NS is PTPN11, which accounts for approximately 50% of all cases."
Cardiofaciocutaneous syndrome,H01745,"Cardio-facio-cutaneous (CFC) syndrome is a congenital disorder characterized by short stature, a characteristic face, cardiac defects, developmental delay and mental retardation. Affected individuals present with ectodermal abnormalities such as sparse, friable hair, hyperkeratotic skin lesions and a generalized ichthyosis-like condition. Typical facial characteristics include high forehead, down-slanting palpebral fissures, a depressed nasal bridge, and posteriorly angulated ears. CFC can be caused by mutations in BRAF, KRAS, MEK1, and MEK2, encoding components of the RAS-MAPK pathway."
Myelodysplastic/myeloproliferative neoplasms,H02410,"Myelodysplastic/myeloproliferative neoplasms (MDS/MPN) are hybrid group of chronic myeloid neoplasms combining features of both myelodysplastic (MDS) [DS: H01481 ] and myeloproliferative neoplasms (MPN). This group includes chronic myelomonocytic leukemia (CMML), its pediatric counterpart juvenile myelomonocytic leukemia (JMML), MDS/MPN with ringed sideroblasts and thrombocytosis (MDS/MPN-RS-T), atypical BCR-ABL1 negative chronic myeloid leukemia (aCML) and MDS/MPN- unclassifiable (MDS/MPN-u). Somatic mutations observed in MDS/MPN fall in 4 major categories, including signaling, splicing, epigenetic, and transcription gene mutations."
Chronic myelomonocytic leukemia,H02411,"Chronic myelomonocytic leukemia (CMML) is a clonal hematopoietic stem cell disorder associated with peripheral blood monocytosis, with an inherent risk for leukemic transformation. CMML has overlapping features of myelodysplastic syndromes (MDS) [DS: H01481 ] and myeloproliferative neoplasms (MPN). Gene mutations are seen in >90% of patients, with common abnormalities involving; epigenetic regulators (TET20% and ASXL1 -40%), spliceosome components (SRSF2 -50%), transcription factors (RUNX1 -15%) and cell signaling (RAS -30%, CBL -15%)."
Atypical chronic myeloid leukemia,H02412,"Atypical chronic myeloid leukemia (aCML) is a rare subtype of myelodysplastic/myeloproliferative neoplasm (MDS/MPN). It is characterized by leukocytosis, granulocytic dysplasia, and typically poor patient outcomes. aCML is dominated by mutations in SETBP1, granulocyte colony-stimulating factor 3 receptor (CSF3R), NRAS and KRAS. In addition to these mutations, other recurrent mutations in a variety of genes including NRAS, IDH2, and CBL have recently been described in aCML at lower frequencies."
Erdheim-Chester disease,H02425,"Erdheim-Chester disease (ECD) is a non-Langerhans-cell form of histiocytosis characterized by infiltration of tissues by foamy histiocytes. Among the more common sites of involvement are the skeleton, central nervous system, cardiovascular system, lungs, kidneys (retroperitoneum) and skin. Recent studies have described that the etiology of ECD may be associated with the V600E BRAF mutation and an array of other activating mitogen-activated protein kinase (MAPK) pathway mutations, suggesting a critical role of this pathway in the pathogenesis and a possible clonal origin of the disease."
Juvenile myelomonocytic leukemia,H02541,Juvenile myelomonocytic leukemia (JMML) is a rare clonal hematopoietic disorder of early childhood with features characteristic of both myelodysplastic and myeloproliferative disorders. Recent studies have shown that abnormal proliferation is due to aberrant signal transduction resulting from mutations in components of the RAS-signaling pathway.
Adrenal carcinoma,H00033,"Adrenocortical carcinoma (ACC) is a rare endocrine malignancy defined by a heterogeneous clinical presentation, dismal prognosis, and lack of effective therapeutic regimens. The incidence of ACC ranges from 0.5 to 2 cases per million people per year, accounting for 0.02% of all reported cancers. Unfortunately, most patients present with metastatic disease which reduces the 5 year survival rate to less than 10%. Oncogenes and tumor-suppressor genes involved in adrenal carcinomas include mutations in the p53 tumor-suppressor gene and rearrangements of the chromosomal locus 11p15.5 associated with IGF II hyperexpression. Deletions of the ACTH receptor gene have recently been found in undifferentiated adenomas and in aggressive ACCs."
Melanoma,H00038,"Melanoma is a form of skin cancer that has a poor prognosis and which is on the rise in Western populations. Melanoma arises from the malignant transformation of pigment-producing cells, melanocytes. The only known environmental risk factor is exposure to ultraviolet (UV) light and in people with fair skin the risk is greatly increased. Melanoma pathogenesis is also driven by genetic factors. Oncogenic NRAS mutations activate both effector pathways Raf-MEK-ERK and PI3K-Akt. The Raf-MEK-ERK pathway may also be activated via mutations in the BRAF gene. The PI3K-Akt pathway may be activated through loss or mutation of the inhibitory tumor suppressor gene PTEN. These mutations arise early during melanoma pathogenesis and are preserved throughout tumor progression. Melanoma development has been shown to be strongly associated with inactivation of the p16INK4a/cyclin dependent kinases 4 and 6/retinoblastoma protein (p16INK4a/CDK4,6/pRb) and p14ARF/human double minute 2/p53 (p14ARF/HMD2/p53) tumor suppressor pathways. MITF and TP53 are implicated in further melanoma progression."
Langerhans cell histiocytosis,H01512,"Langerhans cell histiocytosis (LCH) is a rare histiocytic disorder characterized by a clonal proliferation of specialized cells with characteristics resembling antigen-presenting cells that reside in the skin and mucosa. Its clinical presentation is variable and ranges from isolated skin or bone disease to a life-threatening multisystem condition. Historically, it has been hypothesized that the disease originated from epidermal Langerhans cells. However, new evidence supports a model in which LCH occurs as a consequence of a misguided differentiation programme of myeloid dendritic cell precursors. In LCH, there is a very high frequency of activating mutations in MAPK signaling pathway genes, most notably BRAF-V600E, as well as MAP2K1. Genetic, molecular and functional data implicate activation of the MAPK (ERK) signalling pathway at critical stages in myeloid differentiation as an essential and universal driver of LCH pathology."
Leopard syndrome,H01984,"LEOPARD syndrome is an autosomal dominant developmental disorder belonging to a relatively prevalent class of inherited RAS-MAPK signalling diseases. Its main features are lentigines, electrocardiographic abnormalities, ocular hypertelorism, pulmonary valve stenosis, abnormal genitalia, retardation of growth and deafness. Approximately 90% of LEOPARD syndrome cases are caused by missense mutations in the PTPN11 gene which encodes the protein tyrosine phosphatase SHP2. But it may also be caused by mutations in RAF1 or BRAF."
Melorheostosis,H02631,Melorheostosis (MEL) is a rare sclerosing hyperostosis characterized by asymmetric bone overgrowth and functional impairment. Recent studies indicate that most cases arise from somatic MAP2K1 mutations although a small number may arise from other genes in related pathways.
Common variable immunodeficiency,H00088,"There are three major categories of antibody deficiencies: (a) defects in early B cell development, (b) hyper-IgM syndromes (also called class switch recombination defects), and (c) common variable immunodeficiency (CVID). Category (c) CVID, also called acquired hypogammaglobulinemia, adult-onset hypogammaglobulinemia, or dysgammaglobulinemia, is a heterogeneous group of disorders involving both B-cell and T-cell immune function, the predominant manifestation of which is hypogammaglobulinemia. CVID is characterized by recurrent bacterial infections, decreased serum Ig levels, and abnormal antibody responses. The mutated genes that produce the CVID phenotype are known only for a minority of patients, and they are diverse in their influence on immune function. Homozygous mutations in ICOS are clearly the cause of disease. Heterozygous mutations in the TNF receptor family member TACI (transmembrane activator and calcium-modulating cyclophilin ligand interactor) can be found in up to 10% of patients with CVID."
Chronic mucocutaneous ulceration,H02593,"Chronic mucocutaneous ulceration (CMCU) is characterized by oral and gastrointestinal ulcerations, cytopenias, and lymphoproliferative disease. It has been reported that a heterozygous mutation in RELA, encoding the NF-kB subunit RelA, causes CMCU."
Asthma,H00079,"Asthma is a complex syndrome with many clinical phenotypes in both adults and children. Its major characteristics include a variable degree of airflow obstruction, bronchial hyperresponsiveness, and airway inflammation. Inhaled allergens encounter antigen presenting cells (APC) that line the airway. Upon recognition of the antigen and activation by APC, naive T cells differentiate into TH2 cells. Activated TH2 stimulate the formation of IgE by B cells. IgE molecules bind to IgE receptors located on mast cells. The crosslinking of mast-cell-bound IgE by allergens leads to the release of biologically active mediators (histamine, leukotrienes) by means of degranulation and, so, to the immediate symptoms of allergy. Mast cells also release chemotactic factors that contribute to the recruitment of inflammatory cells, particularly eosinophils, whose proliferation and differentiation from bone marrow progenitors is promoted by IL-5. The activation of eosinophils leads to release of toxic granules and oxygen free radicals that lead to tissue damage and promote the development of chronic inflammation."
Systemic lupus erythematosus,H00080,"Systemic lupus erythematosus (SLE) is a prototypic autoimmune disease characterised by the production of IgG autoantibodies that are specific for self-antigens, such as DNA, nuclear proteins and certain cytoplasmic components, in association with a diverse array of clinical manifestations. The primary pathological findings in patients with SLE are those of inflammation, vasculitis, immune complex deposition, and vasculopathy. Immune complexes comprising autoantibody and self-antigen is deposited particularly in the renal glomeruli and mediate a systemic inflammatory response by activating complement or via Fc{gamma}R-mediated neutrophil and macrophage activation. Activation of complement (C5) leads to injury both through formation of the membrane attack complex (C5b-9) or by generation of the anaphylatoxin and cell activator C5a. Neutrophils and macrophages cause tissue injury by the release of oxidants and proteases. It has been reported that there is a relatively high genetic component behind SLE. The data of family-based studies point toward an oligogenic background, with several susceptibility genes (SLEB) acting on disease expression along with environmental factors."
Allograft rejection,H00083,"Allograft rejection is the consequence of the recipient's alloimmune response to nonself antigens expressed by donor tissues. After transplantation of organ allografts, there are two pathways of antigen presentation. In the direct pathway, recipient T cells react to intact allogeneic MHC molecules expressed on the surface of donor cells. This pathway would activate host CD4 or CD8 T cells. In contrast, donor MHC molecules (and all other proteins) shed from the graft can be taken up by host APCs and presented to recipient T cells in the context of self-MHC molecules - the indirect pathway. Such presentation activates predominantly CD4 T cells. A direct cytotoxic T-cell attack on graft cells can be made only by T cells that recognize the graft MHC molecules directly. Nonetheless, T cells with indirect allospecificity can contribute to graft rejection by activating macrophages, which cause tissue injury and fibrosis, and are also likely to be important in the development of an alloantibody response to graft."
Graft-versus-host disease,H00084,"Graft-versus-host disease (GVHD) is a lethal complication of allogeneic hematopoietic stem cell transplantation (HSCT) where immunocompetent donor T cells attack the genetically disparate host cells. GVHD pathophysiology can be summerized in a three-step process. Step 1 involves the development of an inflammatory milieu resulting from damage in the host tissues induced by the preparative chemotherapy or radiotherapy regimen. Damaged tissues secrete inflammatory cytokines, including interleukin 1 (IL-1), and tumor necrosis factor (TNF-alpha ). During step 2, antigen-presenting cells (APCs) trigger the activation of donor-derived T cells, which induce further T-cell expansion, induce cytotoxic T lymphocytes (CTL) and natural killer (NK) cells responses and prime additional mononuclear phagocytes to produce TNF-alpha and IL-1. Also, nitric oxide (NO) is produced by activated macrophages, and it may contribute to the tissue damage seen during step 3. During step 3, the effector phase, activated CTL and NK cells mediate cytotoxicity against target host cells through Fas-Fas ligand interactions and perforin-granzyme B."
Malaria,H00361,"Malaria, the most common parasitic disease in the world, is caused by Plasmodium parasites that are transmitted by female Anopheline mosquitoes. Plasmodium infections result in a spectrum of clinical effects, including asymptomatic parasitemia, severe malaria, and death. Most severe cases occur in sub-Saharan Africa. In severe malaria, complications such as anemia, respiratory distress, renal failure, and cerebral malaria are observed in addition to cyclical fevers."
Crohn disease,H00286,"Crohn disease is a chronic, relapsing inflammatory bowel disease (IBD) characterized by granulomatous inflammation, primarily localized to the terminal ileum. Most patients have involvement of the small intestine, but the other area of gastrointestinal tract may also be affected. In Western populations, over 50% of patients possess NOD2 mutations. Evidence exists that the NOD2 polymorphisms impair NF-kappaB activation and cytokine secretion in response to its ligand. The pathogenesis of Crohn's disease is also attributed to intestinal bacteria that may initiate mucosal inflammation in genetically susceptible individuals. Additional genes associated with the disease are recently being identified."
Rheumatoid arthritis,H00630,"Rheumatoid arthritis (RA) is a common autoimmune disease that primarily manifests as chronic inflammatory arthropathy. Persistent synovitis leads to cartilage destruction, bone erosions and periarticular decalcification, subsequently resulting in impaired joint function. It is more common between the ages of 35 and 50 years, affecting three times more women than men. Susceptibility to RA is genetically determined with multiple genes contributing. Inheritance of HLA DRB1 alleles encoding a distinctive five-amino-acid sequence known as the ""shared epitope"" (SE) is the best characterized genetic risk factor. The mechanism by which the SE alleles contribute to the development of RA is not very clear. It has been postulated that the presence of these conserved sequences in the antigen-binding groove alters the way antigenic peptides are bound to and presented to T-cell lymphocytes. This, in turn, may trigger abnormal immune responses and lead to RA."
Castleman disease,H01479,"Castleman disease is a rare lymphoproliferative disorder with two primary subtypes that vary in presentation and course. Unicentric Castleman disease is localized and carries an excellent prognosis. Multicentric Castleman disease can be associated with HIV and human herpesvirus-8 and is characterized by generalized lymphadenopathy and systemic symptoms, such as fever, fatigue, anorexia, anemia, and cachexia. Castleman disease is unique in that dysregulated secretion of interleukin-6 (IL-6) plays a central pathogenetic role, although the exact events precipitating the oversecretion of IL-6 are unknown. Recently, two antibody-based therapeutics targeting components of the IL-6/IL-6R complex have been approved for the treatment of Castleman disease. Tocilizumab is a monoclonal antibody directed against the IL-6 receptor, and siltuximab is a monoclonal antibody specific for IL-6."
Juvenile idiopathic arthritis,H01672,"Juvenile idiopathic arthritis (JIA) is one of the most common childhood rheumatic diseases. Clinically, it is defined as arthritis of unknown origin that starts before the age of 16, and persists for at least 6 weeks. Next to a certain genetic predisposition, environmental factors play a role leading to a chronic inflammatory response. JIA is not a single disorder but consists of a heterogeneous group of auto-immune inflammatory diseases. It has variable rates in course and activity of disease. Based on 6 months of clinical symptoms and global prognostic factors, the following clinical subtypes of JIA are recognized: systemic JIA, oligoarthritis, RF-negative polyarthritis, RF-positive polyarthritis, psoriatic JIA, enthesitis- related arthritis, and undifferentiated arthritis. Systemic JIA, also known as Still's disease, is a subtype with strong systemic clinical symptoms. Patients with systemic JIA have, in addition to arthritis, prominent symptoms of systemic inflammation such as spiking fever, rash, pericarditis, peritonitis, lymphadenopathy and organomegaly. A severe and often life-threatening complication occurring in 10-30% of patients with systemic JIA is macrophage activation syndrome. Polymorphisms in the IL6 and in the MIF gene have been found to be associated with susceptibility to the disorder. Based on the known relevance of IL6 in JIA pathophysiology, tocilizumab has been investigated and approved for use in the treatment of systemic and polyarticular JIA."
Chromosome 15q13.3 microdeletion syndrome,H01877,"Chromosome 15q13.3 microdeletion syndrome causes a spectrum of cognitive disorders. The syndrome is caused by microdeletions in the 15q13.2q-13.3 region. This chromosomal region contains seven genes and is flanked by a breakpoint (BP) on each side. About 80% of patients with this syndrome have one or more neuropsychiatric diagnoses, including developmental disability/intellectual disability, autism spectrum disorder, speech problems, and attention deficit hyperactivity disorder (ADHD). The neuropsychiatric phenotypes of 15q13.3 microdeletion syndrome have been proposed to be caused by haploinsufficiency of CHRNA7, which is one of the seven genes."
Hereditary spastic paraplegia,H00266,Hereditary spastic paraplegias (SPG) are a group of clinically and genetically diverse disorders characterized by progressive distal limb weakness and lower extremity spasticity.
Lissencephaly,H00268,"Lissencephaly (LIS), literally meaning smooth brain, is a severe neuronal migration disorder that ranges from agyria/pachygyria to subcortical band heterotopia."
Parkinson disease,H00057,"Parkinson disease (PD) is a progressive neurodegenerative movement disorder that results primarily from the death of dopaminergic (DA) neurons in the substantia nigra pars compacta (SNc). Both environmental factors and mutations in familial PD-linked genes such as SNCA, Parkin, DJ-1, PINK1 and LRRK2 are associated with PD pathogenesis. These pathogenic mutations and environmental factors are known to cause disease due to oxidative stress, intracellular Ca2+ homeostasis impairment, mitochondrial dysfunctions and altered protein handling compromising key roles of DA neuronal function and survival. The demise of DA neurons located in the SNc leads to a drop in the dopaminergic input to the striatum, which is hypothesized to impede movement by inducing hypo and hyper activity in striatal spiny projection neurons (SPNs) of the direct (dSPNs) and indirect (iSPNs) pathways in the basal ganglia, respectively."
Amyotrophic lateral sclerosis (ALS),H00058,"Amyotrophic lateral sclerosis (ALS) is a neurodegenerative disorder characterized by a progressive degeneration of motor neurons in the brain and spinal cord. In 90% of patients, ALS is sporadic, with no clear genetic linkage. On the other hand, the remaining 10% of cases show familial inheritance, with mutations in SOD1, TDP43(TARDBP), FUS, or C9orf72 genes being the most frequent causes. In spite of such difference, familial ALS and sporadic ALS have similarities in their pathological features. Proposed disease mechanisms contributing to motor neuron degeneration in ALS are: impaired proteostasis, aberrant RNA processing, mitochondrial disfunction and oxidative stress, microglia activation, and axonal dysfunction."
Progressive supranuclear palsy,H00077,"Progressive supranuclear palsy (PSP) is a progressing degenerative disease belonging to the family of tauopathies caused by abnormalities in the microtubule-associated protein, tau. PSP presents with an atypical parkinsonism characterized by progressive axial rigidity, vertical gaze palsy, dysarthria and dysphagia. Although the majority of cases of progressive supranuclear palsy appear to be sporadic, the scarcity of familial cases may lack of recognition of the variable phenotypic expression of PSP. One in every 100,000 Americans over the age of 60 have PSP and patients are usually middle-aged or elderly, and men are affected more often than women."
Leber hereditary optic atrophy,H00068,"Leber hereditary optic neuropathy (LHON) is a maternally transmitted inherited genetic disease underlying mutation of mitochondrial DNA (mtDNA). It is primarily an ophthalmological disorder, presenting predominantly in young adult males and characterized by acute or subacute bilateral optic atrophy that results in the loss of central vision. In most of the patients with LHON, visual dysfunction is the only manifestation of the disease. The incidence of LHON in Western Europe is 1/30000-1/50000; at least 1 in 14000 males is affected."
Mitochondrial complex I deficiency,H00473,"Mitochondrial complex I deficiency, the most common mitochondrial disorders, is a group of highly heterogeneous conditions characterised by faulty oxidative phosphorylation (OXPHOS). Human complex I is a giant multiheteromeric structure. Complex I deficiency is known to be associated with a broad spectrum of clinical presentations, that include encephalopathy, cardiomyopathy, myopathy, and liver disease."
MELAS syndrome,H01347,"MELAS syndrome (Mitochondrial encephalopathy, lactic acidosis, and stroke-like episodes) is a maternally inherited multisystem mitochondrial disorder. This disease is associated with mutations in mitochondrial DNA and a biochemical deficiency of respiratory chain complex I. About 80% of MELAS patients have an A3243G mutation in the MTTL1 gene. Other mutations in MTTL1, other mitochondrial tRNA genes, and the mitochondrial MTND subunit genes of complex I have also been reported to cause MELAS."
Leber hereditary optic neuropathy and dystonia,H01365,Leber hereditary optic neuropathy and dystonia (LDYT) is a maternally-inherited mitochondrial disorder characterized by variable combinations of visual loss and progressive generalized dystonia. LDYT is a unique oxidative phosphorylation disorder caused by mutations in mitochondrial DNA.
Kearns-Sayre syndrome,H01355,"Kearns-Sayre Syndrome is a multisystem disorder characterized by ophthalmoplegia, pigmentary retinopathy, heart block, and cerebellar ataxia. This disease is caused by various large-scale deletions of mitochondrial DNA."
Myoclonic Epilepsy and Ragged-Red Fiber Disease,H01356,"Myoclonic Epilepsy and Ragged-Red Fiber Disease (MERRF) is a mitochondrial encephalomyopathy characterized by myoclonic seizures, cerebellar ataxia, myopathy, and ragged-red fibers (RRFs) on muscle biopsy. RRFs are muscle fibers with subsarcolemmal mitochondria that stained red with Gomori trichrome stain. The MERRF syndrome is most commonly caused by the A8344G mutation in the mitochondrial tRNA Lys gene."
