基因名称,基因ID,涉及其他数据库,涉及其他数据的编号,涉及其他数据库的链接（若有多个网址用分号分隔）
ND4 NADH dehydrogenase subunit 4,4538,NCBI-GeneID,4538,https://www.ncbi.nlm.nih.gov/gene/4538
ND4 NADH dehydrogenase subunit 4,4538,NCBI-ProteinID,YP_003024035,https://www.ncbi.nlm.nih.gov/protein/YP_003024035
ND4 NADH dehydrogenase subunit 4,4538,OMIM,516003,https://omim.org/entry/516003
ND4 NADH dehydrogenase subunit 4,4538,HGNC,7459,https://www.genenames.org/tools/search/#!/?query=%207459
ND4 NADH dehydrogenase subunit 4,4538,UniProt,P03905 H9EC08,https://www.uniprot.org/uniprot/P03905; https://www.uniprot.org/uniprot/H9EC08
ND5 NADH dehydrogenase subunit 5,4540,NCBI-GeneID,4540,https://www.ncbi.nlm.nih.gov/gene/4540
ND5 NADH dehydrogenase subunit 5,4540,NCBI-ProteinID,YP_003024036,https://www.ncbi.nlm.nih.gov/protein/YP_003024036
ND5 NADH dehydrogenase subunit 5,4540,OMIM,516005,https://omim.org/entry/516005
ND5 NADH dehydrogenase subunit 5,4540,HGNC,7461,https://www.genenames.org/tools/search/#!/?query=%207461
ND5 NADH dehydrogenase subunit 5,4540,UniProt,P03915 U5ZC31,https://www.uniprot.org/uniprot/P03915; https://www.uniprot.org/uniprot/U5ZC31
ND6 NADH dehydrogenase subunit 6,4541,NCBI-GeneID,4541,https://www.ncbi.nlm.nih.gov/gene/4541
ND6 NADH dehydrogenase subunit 6,4541,NCBI-ProteinID,YP_003024037,https://www.ncbi.nlm.nih.gov/protein/YP_003024037
ND6 NADH dehydrogenase subunit 6,4541,OMIM,516006,https://omim.org/entry/516006
ND6 NADH dehydrogenase subunit 6,4541,HGNC,7462,https://www.genenames.org/tools/search/#!/?query=%207462
ND6 NADH dehydrogenase subunit 6,4541,UniProt,P03923 U5Z977,https://www.uniprot.org/uniprot/P03923; https://www.uniprot.org/uniprot/U5Z977
NDUFS1 NADH:ubiquinone oxidoreductase core subunit S1,4719,NCBI-GeneID,4719,https://www.ncbi.nlm.nih.gov/gene/4719
NDUFS1 NADH:ubiquinone oxidoreductase core subunit S1,4719,NCBI-ProteinID,NP_004997,https://www.ncbi.nlm.nih.gov/protein/NP_004997
NDUFS1 NADH:ubiquinone oxidoreductase core subunit S1,4719,OMIM,157655,https://omim.org/entry/157655
NDUFS1 NADH:ubiquinone oxidoreductase core subunit S1,4719,HGNC,7707,https://www.genenames.org/tools/search/#!/?query=%207707
NDUFS1 NADH:ubiquinone oxidoreductase core subunit S1,4719,Ensembl,ENSG00000023228,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000023228
NDUFS1 NADH:ubiquinone oxidoreductase core subunit S1,4719,UniProt,P28331 E5KRK5,https://www.uniprot.org/uniprot/P28331; https://www.uniprot.org/uniprot/E5KRK5
NDUFS2 NADH:ubiquinone oxidoreductase core subunit S2,4720,NCBI-GeneID,4720,https://www.ncbi.nlm.nih.gov/gene/4720
NDUFS2 NADH:ubiquinone oxidoreductase core subunit S2,4720,NCBI-ProteinID,NP_004541,https://www.ncbi.nlm.nih.gov/protein/NP_004541
NDUFS2 NADH:ubiquinone oxidoreductase core subunit S2,4720,OMIM,602985,https://omim.org/entry/602985
NDUFS2 NADH:ubiquinone oxidoreductase core subunit S2,4720,HGNC,7708,https://www.genenames.org/tools/search/#!/?query=%207708
NDUFS2 NADH:ubiquinone oxidoreductase core subunit S2,4720,Ensembl,ENSG00000158864,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000158864
NDUFS2 NADH:ubiquinone oxidoreductase core subunit S2,4720,UniProt,O75306,https://www.uniprot.org/uniprot/O75306
NDUFS3 NADH:ubiquinone oxidoreductase core subunit S3,4722,NCBI-GeneID,4722,https://www.ncbi.nlm.nih.gov/gene/4722
NDUFS3 NADH:ubiquinone oxidoreductase core subunit S3,4722,NCBI-ProteinID,NP_004542,https://www.ncbi.nlm.nih.gov/protein/NP_004542
NDUFS3 NADH:ubiquinone oxidoreductase core subunit S3,4722,OMIM,603846,https://omim.org/entry/603846
NDUFS3 NADH:ubiquinone oxidoreductase core subunit S3,4722,HGNC,7710,https://www.genenames.org/tools/search/#!/?query=%207710
NDUFS3 NADH:ubiquinone oxidoreductase core subunit S3,4722,Ensembl,ENSG00000213619,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000213619
NDUFS3 NADH:ubiquinone oxidoreductase core subunit S3,4722,UniProt,O75489,https://www.uniprot.org/uniprot/O75489
NDUFS4 NADH:ubiquinone oxidoreductase subunit S4,4724,NCBI-GeneID,4724,https://www.ncbi.nlm.nih.gov/gene/4724
NDUFS4 NADH:ubiquinone oxidoreductase subunit S4,4724,NCBI-ProteinID,NP_002486,https://www.ncbi.nlm.nih.gov/protein/NP_002486
NDUFS4 NADH:ubiquinone oxidoreductase subunit S4,4724,OMIM,602694,https://omim.org/entry/602694
NDUFS4 NADH:ubiquinone oxidoreductase subunit S4,4724,HGNC,7711,https://www.genenames.org/tools/search/#!/?query=%207711
NDUFS4 NADH:ubiquinone oxidoreductase subunit S4,4724,Ensembl,ENSG00000164258,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000164258
NDUFS4 NADH:ubiquinone oxidoreductase subunit S4,4724,UniProt,O43181 A0A0S2Z433,https://www.uniprot.org/uniprot/O43181; https://www.uniprot.org/uniprot/A0A0S2Z433
NDUFS5 NADH:ubiquinone oxidoreductase subunit S5,4725,NCBI-GeneID,4725,https://www.ncbi.nlm.nih.gov/gene/4725
NDUFS5 NADH:ubiquinone oxidoreductase subunit S5,4725,NCBI-ProteinID,NP_001171908,https://www.ncbi.nlm.nih.gov/protein/NP_001171908
NDUFS5 NADH:ubiquinone oxidoreductase subunit S5,4725,OMIM,603847,https://omim.org/entry/603847
NDUFS5 NADH:ubiquinone oxidoreductase subunit S5,4725,HGNC,7712,https://www.genenames.org/tools/search/#!/?query=%207712
NDUFS5 NADH:ubiquinone oxidoreductase subunit S5,4725,Ensembl,ENSG00000168653,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000168653
NDUFS5 NADH:ubiquinone oxidoreductase subunit S5,4725,UniProt,O43920 Q6IBA0,https://www.uniprot.org/uniprot/O43920; https://www.uniprot.org/uniprot/Q6IBA0
NDUFS6 NADH:ubiquinone oxidoreductase subunit S6,4726,NCBI-GeneID,4726,https://www.ncbi.nlm.nih.gov/gene/4726
NDUFS6 NADH:ubiquinone oxidoreductase subunit S6,4726,NCBI-ProteinID,NP_004544,https://www.ncbi.nlm.nih.gov/protein/NP_004544
NDUFS6 NADH:ubiquinone oxidoreductase subunit S6,4726,OMIM,603848,https://omim.org/entry/603848
NDUFS6 NADH:ubiquinone oxidoreductase subunit S6,4726,HGNC,7713,https://www.genenames.org/tools/search/#!/?query=%207713
NDUFS6 NADH:ubiquinone oxidoreductase subunit S6,4726,Ensembl,ENSG00000145494,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000145494
NDUFS6 NADH:ubiquinone oxidoreductase subunit S6,4726,UniProt,O75380 Q6IBC4,https://www.uniprot.org/uniprot/O75380; https://www.uniprot.org/uniprot/Q6IBC4
NDUFS7 NADH:ubiquinone oxidoreductase core subunit S7,374291,NCBI-GeneID,374291,https://www.ncbi.nlm.nih.gov/gene/374291
NDUFS7 NADH:ubiquinone oxidoreductase core subunit S7,374291,NCBI-ProteinID,NP_077718,https://www.ncbi.nlm.nih.gov/protein/NP_077718
NDUFS7 NADH:ubiquinone oxidoreductase core subunit S7,374291,OMIM,601825,https://omim.org/entry/601825
NDUFS7 NADH:ubiquinone oxidoreductase core subunit S7,374291,HGNC,7714,https://www.genenames.org/tools/search/#!/?query=%207714
NDUFS7 NADH:ubiquinone oxidoreductase core subunit S7,374291,Ensembl,ENSG00000115286,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000115286
NDUFS7 NADH:ubiquinone oxidoreductase core subunit S7,374291,UniProt,O75251 Q7LD69,https://www.uniprot.org/uniprot/O75251; https://www.uniprot.org/uniprot/Q7LD69
NDUFS8 NADH:ubiquinone oxidoreductase core subunit S8,4728,NCBI-GeneID,4728,https://www.ncbi.nlm.nih.gov/gene/4728
NDUFS8 NADH:ubiquinone oxidoreductase core subunit S8,4728,NCBI-ProteinID,NP_002487,https://www.ncbi.nlm.nih.gov/protein/NP_002487
NDUFS8 NADH:ubiquinone oxidoreductase core subunit S8,4728,OMIM,602141,https://omim.org/entry/602141
NDUFS8 NADH:ubiquinone oxidoreductase core subunit S8,4728,HGNC,7715,https://www.genenames.org/tools/search/#!/?query=%207715
NDUFS8 NADH:ubiquinone oxidoreductase core subunit S8,4728,Ensembl,ENSG00000110717,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000110717
NDUFS8 NADH:ubiquinone oxidoreductase core subunit S8,4728,UniProt,O00217,https://www.uniprot.org/uniprot/O00217
NDUFV1 NADH:ubiquinone oxidoreductase core subunit V1,4723,NCBI-GeneID,4723,https://www.ncbi.nlm.nih.gov/gene/4723
NDUFV1 NADH:ubiquinone oxidoreductase core subunit V1,4723,NCBI-ProteinID,NP_009034,https://www.ncbi.nlm.nih.gov/protein/NP_009034
NDUFV1 NADH:ubiquinone oxidoreductase core subunit V1,4723,OMIM,161015,https://omim.org/entry/161015
NDUFV1 NADH:ubiquinone oxidoreductase core subunit V1,4723,HGNC,7716,https://www.genenames.org/tools/search/#!/?query=%207716
NDUFV1 NADH:ubiquinone oxidoreductase core subunit V1,4723,Ensembl,ENSG00000167792,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000167792
NDUFV1 NADH:ubiquinone oxidoreductase core subunit V1,4723,UniProt,P49821 E5KNH5,https://www.uniprot.org/uniprot/P49821; https://www.uniprot.org/uniprot/E5KNH5
NDUFV2 NADH:ubiquinone oxidoreductase core subunit V2,4729,NCBI-GeneID,4729,https://www.ncbi.nlm.nih.gov/gene/4729
NDUFV2 NADH:ubiquinone oxidoreductase core subunit V2,4729,NCBI-ProteinID,NP_066552,https://www.ncbi.nlm.nih.gov/protein/NP_066552
NDUFV2 NADH:ubiquinone oxidoreductase core subunit V2,4729,OMIM,600532,https://omim.org/entry/600532
NDUFV2 NADH:ubiquinone oxidoreductase core subunit V2,4729,HGNC,7717,https://www.genenames.org/tools/search/#!/?query=%207717
NDUFV2 NADH:ubiquinone oxidoreductase core subunit V2,4729,Ensembl,ENSG00000178127,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000178127
NDUFV2 NADH:ubiquinone oxidoreductase core subunit V2,4729,UniProt,P19404,https://www.uniprot.org/uniprot/P19404
NDUFV3 NADH:ubiquinone oxidoreductase subunit V3,4731,NCBI-GeneID,4731,https://www.ncbi.nlm.nih.gov/gene/4731
NDUFV3 NADH:ubiquinone oxidoreductase subunit V3,4731,NCBI-ProteinID,NP_001001503,https://www.ncbi.nlm.nih.gov/protein/NP_001001503
NDUFV3 NADH:ubiquinone oxidoreductase subunit V3,4731,OMIM,602184,https://omim.org/entry/602184
NDUFV3 NADH:ubiquinone oxidoreductase subunit V3,4731,HGNC,7719,https://www.genenames.org/tools/search/#!/?query=%207719
NDUFV3 NADH:ubiquinone oxidoreductase subunit V3,4731,Ensembl,ENSG00000160194,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000160194
NDUFV3 NADH:ubiquinone oxidoreductase subunit V3,4731,UniProt,P56181,https://www.uniprot.org/uniprot/P56181
NDUFA1 NADH:ubiquinone oxidoreductase subunit A1,4694,NCBI-GeneID,4694,https://www.ncbi.nlm.nih.gov/gene/4694
NDUFA1 NADH:ubiquinone oxidoreductase subunit A1,4694,NCBI-ProteinID,NP_004532,https://www.ncbi.nlm.nih.gov/protein/NP_004532
NDUFA1 NADH:ubiquinone oxidoreductase subunit A1,4694,OMIM,300078,https://omim.org/entry/300078
NDUFA1 NADH:ubiquinone oxidoreductase subunit A1,4694,HGNC,7683,https://www.genenames.org/tools/search/#!/?query=%207683
NDUFA1 NADH:ubiquinone oxidoreductase subunit A1,4694,Ensembl,ENSG00000125356,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000125356
NDUFA1 NADH:ubiquinone oxidoreductase subunit A1,4694,UniProt,O15239 Q6IBB5,https://www.uniprot.org/uniprot/O15239; https://www.uniprot.org/uniprot/Q6IBB5
NDUFA2 NADH:ubiquinone oxidoreductase subunit A2,4695,NCBI-GeneID,4695,https://www.ncbi.nlm.nih.gov/gene/4695
NDUFA2 NADH:ubiquinone oxidoreductase subunit A2,4695,NCBI-ProteinID,NP_002479,https://www.ncbi.nlm.nih.gov/protein/NP_002479
NDUFA2 NADH:ubiquinone oxidoreductase subunit A2,4695,OMIM,602137,https://omim.org/entry/602137
NDUFA2 NADH:ubiquinone oxidoreductase subunit A2,4695,HGNC,7685,https://www.genenames.org/tools/search/#!/?query=%207685
NDUFA2 NADH:ubiquinone oxidoreductase subunit A2,4695,Ensembl,ENSG00000131495,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000131495
NDUFA2 NADH:ubiquinone oxidoreductase subunit A2,4695,UniProt,O43678,https://www.uniprot.org/uniprot/O43678
NDUFA3 NADH:ubiquinone oxidoreductase subunit A3,4696,NCBI-GeneID,4696,https://www.ncbi.nlm.nih.gov/gene/4696
NDUFA3 NADH:ubiquinone oxidoreductase subunit A3,4696,NCBI-ProteinID,NP_004533,https://www.ncbi.nlm.nih.gov/protein/NP_004533
NDUFA3 NADH:ubiquinone oxidoreductase subunit A3,4696,OMIM,603832,https://omim.org/entry/603832
NDUFA3 NADH:ubiquinone oxidoreductase subunit A3,4696,HGNC,7686,https://www.genenames.org/tools/search/#!/?query=%207686
NDUFA3 NADH:ubiquinone oxidoreductase subunit A3,4696,Ensembl,ENSG00000170906,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000170906
NDUFA3 NADH:ubiquinone oxidoreductase subunit A3,4696,UniProt,O95167 Q6FGG4,https://www.uniprot.org/uniprot/O95167; https://www.uniprot.org/uniprot/Q6FGG4
NDUFA4 NDUFA4 mitochondrial complex associated,4697,NCBI-GeneID,4697,https://www.ncbi.nlm.nih.gov/gene/4697
NDUFA4 NDUFA4 mitochondrial complex associated,4697,NCBI-ProteinID,NP_002480,https://www.ncbi.nlm.nih.gov/protein/NP_002480
NDUFA4 NDUFA4 mitochondrial complex associated,4697,OMIM,603833,https://omim.org/entry/603833
NDUFA4 NDUFA4 mitochondrial complex associated,4697,HGNC,7687,https://www.genenames.org/tools/search/#!/?query=%207687
NDUFA4 NDUFA4 mitochondrial complex associated,4697,Ensembl,ENSG00000189043,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000189043
NDUFA4 NDUFA4 mitochondrial complex associated,4697,UniProt,O00483,https://www.uniprot.org/uniprot/O00483
NDUFA5 NADH:ubiquinone oxidoreductase subunit A5,4698,NCBI-GeneID,4698,https://www.ncbi.nlm.nih.gov/gene/4698
NDUFA5 NADH:ubiquinone oxidoreductase subunit A5,4698,NCBI-ProteinID,NP_001269349,https://www.ncbi.nlm.nih.gov/protein/NP_001269349
NDUFA5 NADH:ubiquinone oxidoreductase subunit A5,4698,OMIM,601677,https://omim.org/entry/601677
NDUFA5 NADH:ubiquinone oxidoreductase subunit A5,4698,HGNC,7688,https://www.genenames.org/tools/search/#!/?query=%207688
NDUFA5 NADH:ubiquinone oxidoreductase subunit A5,4698,Ensembl,ENSG00000128609,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000128609
NDUFA5 NADH:ubiquinone oxidoreductase subunit A5,4698,UniProt,Q16718,https://www.uniprot.org/uniprot/Q16718
NDUFA6 NADH:ubiquinone oxidoreductase subunit A6,4700,NCBI-GeneID,4700,https://www.ncbi.nlm.nih.gov/gene/4700
NDUFA6 NADH:ubiquinone oxidoreductase subunit A6,4700,NCBI-ProteinID,NP_002481,https://www.ncbi.nlm.nih.gov/protein/NP_002481
NDUFA6 NADH:ubiquinone oxidoreductase subunit A6,4700,OMIM,602138,https://omim.org/entry/602138
NDUFA6 NADH:ubiquinone oxidoreductase subunit A6,4700,HGNC,7690,https://www.genenames.org/tools/search/#!/?query=%207690
NDUFA6 NADH:ubiquinone oxidoreductase subunit A6,4700,Ensembl,ENSG00000184983,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000184983
NDUFA6 NADH:ubiquinone oxidoreductase subunit A6,4700,UniProt,P56556 A0A2Y9D025,https://www.uniprot.org/uniprot/P56556; https://www.uniprot.org/uniprot/A0A2Y9D025
NDUFA7 NADH:ubiquinone oxidoreductase subunit A7,4701,NCBI-GeneID,4701,https://www.ncbi.nlm.nih.gov/gene/4701
NDUFA7 NADH:ubiquinone oxidoreductase subunit A7,4701,NCBI-ProteinID,NP_004992,https://www.ncbi.nlm.nih.gov/protein/NP_004992
NDUFA7 NADH:ubiquinone oxidoreductase subunit A7,4701,OMIM,602139,https://omim.org/entry/602139
NDUFA7 NADH:ubiquinone oxidoreductase subunit A7,4701,HGNC,7691,https://www.genenames.org/tools/search/#!/?query=%207691
NDUFA7 NADH:ubiquinone oxidoreductase subunit A7,4701,Ensembl,ENSG00000267855,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000267855
NDUFA7 NADH:ubiquinone oxidoreductase subunit A7,4701,UniProt,O95182,https://www.uniprot.org/uniprot/O95182
NDUFA8 NADH:ubiquinone oxidoreductase subunit A8,4702,NCBI-GeneID,4702,https://www.ncbi.nlm.nih.gov/gene/4702
NDUFA8 NADH:ubiquinone oxidoreductase subunit A8,4702,NCBI-ProteinID,NP_055037,https://www.ncbi.nlm.nih.gov/protein/NP_055037
NDUFA8 NADH:ubiquinone oxidoreductase subunit A8,4702,OMIM,603359,https://omim.org/entry/603359
NDUFA8 NADH:ubiquinone oxidoreductase subunit A8,4702,HGNC,7692,https://www.genenames.org/tools/search/#!/?query=%207692
NDUFA8 NADH:ubiquinone oxidoreductase subunit A8,4702,Ensembl,ENSG00000119421,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000119421
NDUFA8 NADH:ubiquinone oxidoreductase subunit A8,4702,UniProt,P51970,https://www.uniprot.org/uniprot/P51970
NDUFA9 NADH:ubiquinone oxidoreductase subunit A9,4704,NCBI-GeneID,4704,https://www.ncbi.nlm.nih.gov/gene/4704
NDUFA9 NADH:ubiquinone oxidoreductase subunit A9,4704,NCBI-ProteinID,NP_004993,https://www.ncbi.nlm.nih.gov/protein/NP_004993
NDUFA9 NADH:ubiquinone oxidoreductase subunit A9,4704,OMIM,603834,https://omim.org/entry/603834
NDUFA9 NADH:ubiquinone oxidoreductase subunit A9,4704,HGNC,7693,https://www.genenames.org/tools/search/#!/?query=%207693
NDUFA9 NADH:ubiquinone oxidoreductase subunit A9,4704,Ensembl,ENSG00000139180,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000139180
NDUFA9 NADH:ubiquinone oxidoreductase subunit A9,4704,UniProt,Q16795,https://www.uniprot.org/uniprot/Q16795
NDUFA10 NADH:ubiquinone oxidoreductase subunit A10,4705,NCBI-GeneID,4705,https://www.ncbi.nlm.nih.gov/gene/4705
NDUFA10 NADH:ubiquinone oxidoreductase subunit A10,4705,NCBI-ProteinID,NP_004535,https://www.ncbi.nlm.nih.gov/protein/NP_004535
NDUFA10 NADH:ubiquinone oxidoreductase subunit A10,4705,OMIM,603835,https://omim.org/entry/603835
NDUFA10 NADH:ubiquinone oxidoreductase subunit A10,4705,HGNC,7684,https://www.genenames.org/tools/search/#!/?query=%207684
NDUFA10 NADH:ubiquinone oxidoreductase subunit A10,4705,Ensembl,ENSG00000130414,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000130414
NDUFA10 NADH:ubiquinone oxidoreductase subunit A10,4705,UniProt,O95299,https://www.uniprot.org/uniprot/O95299
NDUFAB1 NADH:ubiquinone oxidoreductase subunit AB1,4706,NCBI-GeneID,4706,https://www.ncbi.nlm.nih.gov/gene/4706
NDUFAB1 NADH:ubiquinone oxidoreductase subunit AB1,4706,NCBI-ProteinID,NP_004994,https://www.ncbi.nlm.nih.gov/protein/NP_004994
NDUFAB1 NADH:ubiquinone oxidoreductase subunit AB1,4706,OMIM,603836,https://omim.org/entry/603836
NDUFAB1 NADH:ubiquinone oxidoreductase subunit AB1,4706,HGNC,7694,https://www.genenames.org/tools/search/#!/?query=%207694
NDUFAB1 NADH:ubiquinone oxidoreductase subunit AB1,4706,Ensembl,ENSG00000004779,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000004779
NDUFAB1 NADH:ubiquinone oxidoreductase subunit AB1,4706,UniProt,O14561,https://www.uniprot.org/uniprot/O14561
NDUFA11 NADH:ubiquinone oxidoreductase subunit A11,126328,NCBI-GeneID,126328,https://www.ncbi.nlm.nih.gov/gene/126328
NDUFA11 NADH:ubiquinone oxidoreductase subunit A11,126328,NCBI-ProteinID,NP_783313,https://www.ncbi.nlm.nih.gov/protein/NP_783313
NDUFA11 NADH:ubiquinone oxidoreductase subunit A11,126328,OMIM,612638,https://omim.org/entry/612638
NDUFA11 NADH:ubiquinone oxidoreductase subunit A11,126328,HGNC,20371,https://www.genenames.org/tools/search/#!/?query=%2020371
NDUFA11 NADH:ubiquinone oxidoreductase subunit A11,126328,Ensembl,ENSG00000174886,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000174886
NDUFA11 NADH:ubiquinone oxidoreductase subunit A11,126328,UniProt,Q86Y39,https://www.uniprot.org/uniprot/Q86Y39
NDUFA12 NADH:ubiquinone oxidoreductase subunit A12,55967,NCBI-GeneID,55967,https://www.ncbi.nlm.nih.gov/gene/55967
NDUFA12 NADH:ubiquinone oxidoreductase subunit A12,55967,NCBI-ProteinID,NP_061326,https://www.ncbi.nlm.nih.gov/protein/NP_061326
NDUFA12 NADH:ubiquinone oxidoreductase subunit A12,55967,OMIM,614530,https://omim.org/entry/614530
NDUFA12 NADH:ubiquinone oxidoreductase subunit A12,55967,HGNC,23987,https://www.genenames.org/tools/search/#!/?query=%2023987
NDUFA12 NADH:ubiquinone oxidoreductase subunit A12,55967,Ensembl,ENSG00000184752,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000184752
NDUFA12 NADH:ubiquinone oxidoreductase subunit A12,55967,UniProt,Q9UI09,https://www.uniprot.org/uniprot/Q9UI09
NDUFA13 NADH:ubiquinone oxidoreductase subunit A13,51079,NCBI-GeneID,51079,https://www.ncbi.nlm.nih.gov/gene/51079
NDUFA13 NADH:ubiquinone oxidoreductase subunit A13,51079,NCBI-ProteinID,NP_057049,https://www.ncbi.nlm.nih.gov/protein/NP_057049
NDUFA13 NADH:ubiquinone oxidoreductase subunit A13,51079,OMIM,609435,https://omim.org/entry/609435
NDUFA13 NADH:ubiquinone oxidoreductase subunit A13,51079,HGNC,17194,https://www.genenames.org/tools/search/#!/?query=%2017194
NDUFA13 NADH:ubiquinone oxidoreductase subunit A13,51079,Ensembl,ENSG00000186010,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000186010
NDUFA13 NADH:ubiquinone oxidoreductase subunit A13,51079,UniProt,Q9P0J0,https://www.uniprot.org/uniprot/Q9P0J0
NDUFB1 NADH:ubiquinone oxidoreductase subunit B1,4707,NCBI-GeneID,4707,https://www.ncbi.nlm.nih.gov/gene/4707
NDUFB1 NADH:ubiquinone oxidoreductase subunit B1,4707,NCBI-ProteinID,NP_004536,https://www.ncbi.nlm.nih.gov/protein/NP_004536
NDUFB1 NADH:ubiquinone oxidoreductase subunit B1,4707,OMIM,603837,https://omim.org/entry/603837
NDUFB1 NADH:ubiquinone oxidoreductase subunit B1,4707,HGNC,7695,https://www.genenames.org/tools/search/#!/?query=%207695
NDUFB1 NADH:ubiquinone oxidoreductase subunit B1,4707,Ensembl,ENSG00000183648,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000183648
NDUFB1 NADH:ubiquinone oxidoreductase subunit B1,4707,UniProt,O75438,https://www.uniprot.org/uniprot/O75438
NDUFB2 NADH:ubiquinone oxidoreductase subunit B2,4708,NCBI-GeneID,4708,https://www.ncbi.nlm.nih.gov/gene/4708
NDUFB2 NADH:ubiquinone oxidoreductase subunit B2,4708,NCBI-ProteinID,NP_004537,https://www.ncbi.nlm.nih.gov/protein/NP_004537
NDUFB2 NADH:ubiquinone oxidoreductase subunit B2,4708,OMIM,603838,https://omim.org/entry/603838
NDUFB2 NADH:ubiquinone oxidoreductase subunit B2,4708,HGNC,7697,https://www.genenames.org/tools/search/#!/?query=%207697
NDUFB2 NADH:ubiquinone oxidoreductase subunit B2,4708,Ensembl,ENSG00000090266,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000090266
NDUFB2 NADH:ubiquinone oxidoreductase subunit B2,4708,UniProt,O95178 A4D1T5,https://www.uniprot.org/uniprot/O95178; https://www.uniprot.org/uniprot/A4D1T5
NDUFB3 NADH:ubiquinone oxidoreductase subunit B3,4709,NCBI-GeneID,4709,https://www.ncbi.nlm.nih.gov/gene/4709
NDUFB3 NADH:ubiquinone oxidoreductase subunit B3,4709,NCBI-ProteinID,NP_001244031,https://www.ncbi.nlm.nih.gov/protein/NP_001244031
NDUFB3 NADH:ubiquinone oxidoreductase subunit B3,4709,OMIM,603839,https://omim.org/entry/603839
NDUFB3 NADH:ubiquinone oxidoreductase subunit B3,4709,HGNC,7698,https://www.genenames.org/tools/search/#!/?query=%207698
NDUFB3 NADH:ubiquinone oxidoreductase subunit B3,4709,Ensembl,ENSG00000119013,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000119013
NDUFB3 NADH:ubiquinone oxidoreductase subunit B3,4709,UniProt,O43676,https://www.uniprot.org/uniprot/O43676
NDUFB4 NADH:ubiquinone oxidoreductase subunit B4,4710,NCBI-GeneID,4710,https://www.ncbi.nlm.nih.gov/gene/4710
NDUFB4 NADH:ubiquinone oxidoreductase subunit B4,4710,NCBI-ProteinID,NP_004538,https://www.ncbi.nlm.nih.gov/protein/NP_004538
NDUFB4 NADH:ubiquinone oxidoreductase subunit B4,4710,OMIM,603840,https://omim.org/entry/603840
NDUFB4 NADH:ubiquinone oxidoreductase subunit B4,4710,HGNC,7699,https://www.genenames.org/tools/search/#!/?query=%207699
NDUFB4 NADH:ubiquinone oxidoreductase subunit B4,4710,Ensembl,ENSG00000065518,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000065518
NDUFB4 NADH:ubiquinone oxidoreductase subunit B4,4710,UniProt,O95168,https://www.uniprot.org/uniprot/O95168
NDUFB5 NADH:ubiquinone oxidoreductase subunit B5,4711,NCBI-GeneID,4711,https://www.ncbi.nlm.nih.gov/gene/4711
NDUFB5 NADH:ubiquinone oxidoreductase subunit B5,4711,NCBI-ProteinID,NP_002483,https://www.ncbi.nlm.nih.gov/protein/NP_002483
NDUFB5 NADH:ubiquinone oxidoreductase subunit B5,4711,OMIM,603841,https://omim.org/entry/603841
NDUFB5 NADH:ubiquinone oxidoreductase subunit B5,4711,HGNC,7700,https://www.genenames.org/tools/search/#!/?query=%207700
NDUFB5 NADH:ubiquinone oxidoreductase subunit B5,4711,Ensembl,ENSG00000136521,https://www.ensembl.org/Homo_sapiens/geneview?gene=ENSG00000136521
NDUFB5 NADH:ubiquinone oxidoreductase subunit B5,4711,UniProt,O43674,https://www.uniprot.org/uniprot/O43674
NDUFB6 NADH:ubiquinone oxidoreductase subunit B6,4712,NCBI-GeneID,4712,https://www.ncbi.nlm.nih.gov/gene/4712
NDUFB6 NADH:ubiquinone oxidoreductase subunit B6,4712,NCBI-ProteinID,NP_002484,https://www.ncbi.nlm.nih.gov/protein/NP_002484
