药物,药物编号,药物的链接
Dorzolamide hydrochloride and timolol maleate,D08493,https://www.kegg.jp/entry/D08493
Brimonidine tartrate and timolol maleate,D10298,https://www.kegg.jp/entry/D10298
Latanoprost,D00356,https://www.kegg.jp/entry/D00356
Isopropyl unoprostone,D01452,https://www.kegg.jp/entry/D01452
Bimatoprost,D02724,https://www.kegg.jp/entry/D02724
Travoprost,D01964,https://www.kegg.jp/entry/D01964
Tafluprost,D06274,https://www.kegg.jp/entry/D06274
Latanoprostene bunod,D10441,https://www.kegg.jp/entry/D10441
Netarsudil and latanoprost,D11558,https://www.kegg.jp/entry/D11558
Netarsudil mesylate,D11031,https://www.kegg.jp/entry/D11031
Omidenepag isopropyl,D10966,https://www.kegg.jp/entry/D10966
Calcitonin salmon,D00249,https://www.kegg.jp/entry/D00249
Etidronate disodium,D00314,https://www.kegg.jp/entry/D00314
Pamidronate disodium,D00941,https://www.kegg.jp/entry/D00941
Alendronate sodium,D00939,https://www.kegg.jp/entry/D00939
Risedronate sodium,D00942,https://www.kegg.jp/entry/D00942
Sodium risedronate hydrate,D03234,https://www.kegg.jp/entry/D03234
Risedronate sodium monohydrate,D11570,https://www.kegg.jp/entry/D11570
Toripalimab,D12202,https://www.kegg.jp/entry/D12202
Copanlisib hydrochloride hydrate,D10798,https://www.kegg.jp/entry/D10798
Umbralisib tosylate,D11323,https://www.kegg.jp/entry/D11323
Mosunetuzumab,D11463,https://www.kegg.jp/entry/D11463
Tazemetostat hydrobromide,D11485,https://www.kegg.jp/entry/D11485
Fluphenazine decanoate,D00793,https://www.kegg.jp/entry/D00793
Perphenazine,D00503,https://www.kegg.jp/entry/D00503
Prochlorperazine maleate,D00479,https://www.kegg.jp/entry/D00479
Trifluoperazine hydrochloride,D00799,https://www.kegg.jp/entry/D00799
Thioridazine hydrochloride,D00798,https://www.kegg.jp/entry/D00798
Haloperidol decanoate,D01898,https://www.kegg.jp/entry/D01898
Haloperidol lactate,D08035,https://www.kegg.jp/entry/D08035
Molindone hydrochloride,D00796,https://www.kegg.jp/entry/D00796
Ziprasidone mesylate,D02100,https://www.kegg.jp/entry/D02100
Thiothixene,D00374,https://www.kegg.jp/entry/D00374
Loxapine succinate,D00794,https://www.kegg.jp/entry/D00794
Clozapine,D00283,https://www.kegg.jp/entry/D00283
Olanzapine pamoate,D06623,https://www.kegg.jp/entry/D06623
Asenapine,D11769,https://www.kegg.jp/entry/D11769
Aripiprazole lauroxil,D10364,https://www.kegg.jp/entry/D10364
Paliperidone,D05339,https://www.kegg.jp/entry/D05339
Paliperidone palmitate,D05340,https://www.kegg.jp/entry/D05340
Brexpiprazole,D10309,https://www.kegg.jp/entry/D10309
Chlorothiazide sodium,D03471,https://www.kegg.jp/entry/D03471
Chlorthalidone,D00272,https://www.kegg.jp/entry/D00272
Metolazone,D00431,https://www.kegg.jp/entry/D00431
Bumetanide,D00247,https://www.kegg.jp/entry/D00247
Ethacrynic acid,D00313,https://www.kegg.jp/entry/D00313
Triamterene,D00386,https://www.kegg.jp/entry/D00386
Spironolactone and hydrochlorothiazide,D10270,https://www.kegg.jp/entry/D10270
Quinidine sulfate,D02272,https://www.kegg.jp/entry/D02272
Flecainide acetate,D00638,https://www.kegg.jp/entry/D00638
Verapamil hydrochloride,D00619,https://www.kegg.jp/entry/D00619
Rosuvastatin calcium,D01915,https://www.kegg.jp/entry/D01915
Fenofibrate,D00565,https://www.kegg.jp/entry/D00565
Choline fenofibrate,D08890,https://www.kegg.jp/entry/D08890
Omega-3-acid ethyl esters,D05255,https://www.kegg.jp/entry/D05255
Icosapent ethyl,D01892,https://www.kegg.jp/entry/D01892
Fenofibric acid,D11579,https://www.kegg.jp/entry/D11579
Leniolisib phosphate,D11159,https://www.kegg.jp/entry/D11159
Insulin glargine and lixisenatide,D11034,https://www.kegg.jp/entry/D11034
Insulin degludec and liraglutide,D11567,https://www.kegg.jp/entry/D11567
Metformin hydrochloride,D00944,https://www.kegg.jp/entry/D00944
Glyburide,D00336,https://www.kegg.jp/entry/D00336
Chlorpropamide,D00271,https://www.kegg.jp/entry/D00271
Tolbutamide,D00380,https://www.kegg.jp/entry/D00380
Tolazamide,D00379,https://www.kegg.jp/entry/D00379
Glipizide,D00335,https://www.kegg.jp/entry/D00335
Glimepiride,D00593,https://www.kegg.jp/entry/D00593
Glipizide and metformin hydrochloride,D10265,https://www.kegg.jp/entry/D10265
Glyburide and metformin hydrochloride,D10266,https://www.kegg.jp/entry/D10266
Metformin hydrochloride and rosiglitazone maleate,D10244,https://www.kegg.jp/entry/D10244
Pioglitazone hydrochloride and metformin hydrochloride,D09744,https://www.kegg.jp/entry/D09744
Pioglitazone hydrochloride and glimepiride tablets,D09848,https://www.kegg.jp/entry/D09848
Metformin hydrochloride and sitagliptin phosphate,D10261,https://www.kegg.jp/entry/D10261
Alogliptin benzoate and pioglitazone hydrochloride,D10159,https://www.kegg.jp/entry/D10159
Metformin hydrochloride and saxagliptin hydrochloride,D10263,https://www.kegg.jp/entry/D10263
Linagliptin and metformin hydrochloride,D10264,https://www.kegg.jp/entry/D10264
Alogliptin benzoate and metformin hydrochloride,D10253,https://www.kegg.jp/entry/D10253
Metformin hydrochloride and repaglinide,D10500,https://www.kegg.jp/entry/D10500
Dapagliflozin and metformin,D10586,https://www.kegg.jp/entry/D10586
Canagliflozin and metformin,D10587,https://www.kegg.jp/entry/D10587
Empagliflozin and linagliptin,D10588,https://www.kegg.jp/entry/D10588
Empagliflozin and metformin,D10752,https://www.kegg.jp/entry/D10752
Saxagliptin and dapagliflozin,D10826,https://www.kegg.jp/entry/D10826
Ertugliflozin and metformin,D11067,https://www.kegg.jp/entry/D11067
Ertugliflozin and sitagliptin,D11066,https://www.kegg.jp/entry/D11066
"Dapagliflozin, metformin and saxagliptin",D11711,https://www.kegg.jp/entry/D11711
"Empagliflozin, linagliptin and metformin hydrochloride",D11856,https://www.kegg.jp/entry/D11856
Acarbose,D00216,https://www.kegg.jp/entry/D00216
Miglitol,D00625,https://www.kegg.jp/entry/D00625
Rosiglitazone maleate,D00596,https://www.kegg.jp/entry/D00596
Pioglitazone hydrochloride,D00945,https://www.kegg.jp/entry/D00945
Sitagliptin phosphate,D06645,https://www.kegg.jp/entry/D06645
Alogliptin benzoate,D06553,https://www.kegg.jp/entry/D06553
Linagliptin,D09566,https://www.kegg.jp/entry/D09566
Teneligliptin hydrobromide hydrate,D09756,https://www.kegg.jp/entry/D09756
Exenatide,D04121,https://www.kegg.jp/entry/D04121
Liraglutide,D06404,https://www.kegg.jp/entry/D06404
Lixisenatide,D09729,https://www.kegg.jp/entry/D09729
Albiglutide,D08843,https://www.kegg.jp/entry/D08843
Dulaglutide,D09889,https://www.kegg.jp/entry/D09889
Semaglutide,D10025,https://www.kegg.jp/entry/D10025
Dapagliflozin propanediol,D09763,https://www.kegg.jp/entry/D09763
Canagliflozin,D09592,https://www.kegg.jp/entry/D09592
Empagliflozin,D10459,https://www.kegg.jp/entry/D10459
Ertugliflozin pidolate,D11043,https://www.kegg.jp/entry/D11043
Bexagliflozin,D10865,https://www.kegg.jp/entry/D10865
Repaglinide,D00594,https://www.kegg.jp/entry/D00594
Nateglinide,D01111,https://www.kegg.jp/entry/D01111
Tirzepatide,D11360,https://www.kegg.jp/entry/D11360
Colesevelam hydrochloride,D03582,https://www.kegg.jp/entry/D03582
Anagliptin,D09780,https://www.kegg.jp/entry/D09780
Mitiglinide calcium hydrate and voglibose,D10160,https://www.kegg.jp/entry/D10160
Trelagliptin succinate,D10179,https://www.kegg.jp/entry/D10179
Omarigliptin,D10317,https://www.kegg.jp/entry/D10317
Nitric oxide,D00074,https://www.kegg.jp/entry/D00074
Epoprostenol,D00106,https://www.kegg.jp/entry/D00106
Epoprostenol sodium,D01337,https://www.kegg.jp/entry/D01337
Iloprost,D02721,https://www.kegg.jp/entry/D02721
Treprostinil,D06213,https://www.kegg.jp/entry/D06213
Treprostinil diolamine,D10430,https://www.kegg.jp/entry/D10430
Selexipag,D09994,https://www.kegg.jp/entry/D09994
Bosentan,D01227,https://www.kegg.jp/entry/D01227
Ambrisentan,D07077,https://www.kegg.jp/entry/D07077
Macitentan,D10135,https://www.kegg.jp/entry/D10135
Riociguat,D09572,https://www.kegg.jp/entry/D09572
Sildenafil,D08514,https://www.kegg.jp/entry/D08514
Sildenafil citrate,D02229,https://www.kegg.jp/entry/D02229
Tadalafil,D02008,https://www.kegg.jp/entry/D02008
Sotatercept,D09670,https://www.kegg.jp/entry/D09670
Mavacamten,D12265,https://www.kegg.jp/entry/D12265
Interferon gamma-1b,D00747,https://www.kegg.jp/entry/D00747
Mercaptopurine,D00161,https://www.kegg.jp/entry/D00161
Clofarabine,D03546,https://www.kegg.jp/entry/D03546
Nelarabine,D05134,https://www.kegg.jp/entry/D05134
Teniposide,D02698,https://www.kegg.jp/entry/D02698
Asparaginase,D02997,https://www.kegg.jp/entry/D02997
Pegaspargase,D05387,https://www.kegg.jp/entry/D05387
Calaspargase pegol,D10096,https://www.kegg.jp/entry/D10096
Levetiracetam,D00709,https://www.kegg.jp/entry/D00709
