涉及疾病,涉及疾病的编号,网络,网络ID
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Colorectal cancer,H00020,Colorectal cancer,nt06260
Colorectal cancer,H00020,Mismatch repair,nt06503
Colorectal cancer,H00020,WNT signaling,nt06505
Colorectal cancer,H00020,TGFB signaling,nt06507
Colorectal cancer,H00020,Regulation of kinetochore-microtubule interactions,nt06515
Colorectal cancer,H00020,Apoptosis,nt06524
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Colorectal cancer,H00020,Colorectal cancer,nt06260
Colorectal cancer,H00020,Mismatch repair,nt06503
Colorectal cancer,H00020,WNT signaling,nt06505
Colorectal cancer,H00020,TGFB signaling,nt06507
Colorectal cancer,H00020,Regulation of kinetochore-microtubule interactions,nt06515
Colorectal cancer,H00020,Apoptosis,nt06524
Thrombocytopenia (THC),H00978,Apoptosis,nt06524
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Colorectal cancer,H00020,Colorectal cancer,nt06260
Colorectal cancer,H00020,Mismatch repair,nt06503
Colorectal cancer,H00020,WNT signaling,nt06505
Colorectal cancer,H00020,TGFB signaling,nt06507
Colorectal cancer,H00020,Regulation of kinetochore-microtubule interactions,nt06515
Colorectal cancer,H00020,Apoptosis,nt06524
Thrombocytopenia (THC),H00978,Apoptosis,nt06524
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
3-Methylglutaconic aciduria,H00754,"Valine, leucine and isoleucine degradation",nt06024
Thrombocytopenia (THC),H00978,Apoptosis,nt06524
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Thrombocytopenia (THC),H00978,Apoptosis,nt06524
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Dopa-responsive dystonia,H02557,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Brunner syndrome,H00548,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Infantile-onset parkinsonism-dystonia,H02676,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Cytochrome c oxidase (COX) deficiency,H01368,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Cytochrome c oxidase (COX) deficiency,H01368,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Cytochrome c oxidase (COX) deficiency,H01368,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Cytochrome c oxidase (COX) deficiency,H01368,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Dilated cardiomyopathy,H00294,Calcium signaling,nt06528
Dilated cardiomyopathy,H00294,Cytoskeleton in muscle cells,nt06539
Diseases of the tricarboxylic acid cycle,H01022,Citrate cycle and pyruvate metabolism,nt06031
Mitochondrial complex II deficiency,H02005,Citrate cycle and pyruvate metabolism,nt06031
Mitochondrial complex II deficiency,H02005,Thermogenesis,nt06529
Cowden syndrome,H01222,PI3K signaling,nt06530
Malignant paraganglioma,H01510,Epigenetic regulation by Polycomb complexes,nt06523
Malignant paraganglioma,H01510,MAPK signaling,nt06526
Mitochondrial complex II deficiency,H02005,Citrate cycle and pyruvate metabolism,nt06031
Mitochondrial complex II deficiency,H02005,Thermogenesis,nt06529
Malignant paraganglioma,H01510,Epigenetic regulation by Polycomb complexes,nt06523
Malignant paraganglioma,H01510,MAPK signaling,nt06526
Cowden syndrome,H01222,PI3K signaling,nt06530
Malignant paraganglioma,H01510,Epigenetic regulation by Polycomb complexes,nt06523
Malignant paraganglioma,H01510,MAPK signaling,nt06526
Mitochondrial complex II deficiency,H02005,Citrate cycle and pyruvate metabolism,nt06031
Mitochondrial complex II deficiency,H02005,Thermogenesis,nt06529
Mitochondrial complex III deficiency,H02086,Thermogenesis,nt06529
Mitochondrial complex III deficiency,H02086,Efferocytosis,nt06535
Mitochondrial complex III deficiency,H02086,Thermogenesis,nt06529
Mitochondrial complex III deficiency,H02086,Efferocytosis,nt06535
Mitochondrial complex III deficiency,H02086,Thermogenesis,nt06529
Mitochondrial complex III deficiency,H02086,Efferocytosis,nt06535
Mitochondrial complex III deficiency,H02086,Thermogenesis,nt06529
Mitochondrial complex III deficiency,H02086,Efferocytosis,nt06535
Mitochondrial complex III deficiency,H02086,Thermogenesis,nt06529
Mitochondrial complex III deficiency,H02086,Efferocytosis,nt06535
Mitochondrial complex III deficiency,H02086,Thermogenesis,nt06529
Mitochondrial complex III deficiency,H02086,Efferocytosis,nt06535
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Hereditary spastic paraplegia,H00266,Cytoskeleton in muscle cells,nt06539
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Lissencephaly,H00268,Regulation of kinetochore-microtubule interactions,nt06515
Keratoconus,H00789,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Macrothrombocytopenia,H01740,Coagulation cascade,nt06514
Macrothrombocytopenia,H01740,Regulation of kinetochore-microtubule interactions,nt06515
Congenital symmetric circumferential skin creases,H01579,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Macrothrombocytopenia,H01740,Coagulation cascade,nt06514
Macrothrombocytopenia,H01740,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Congenital fibrosis of the extraocular muscles,H00838,Regulation of kinetochore-microtubule interactions,nt06515
Complex cortical dysplasia with other brain malformations,H01881,Regulation of kinetochore-microtubule interactions,nt06515
Hypomyelinating leukodystrophy,H00679,Regulation of kinetochore-microtubule interactions,nt06515
Hypomyelinating leukodystrophy,H00679,Autophagy,nt06532
Hypomyelinating leukodystrophy,H00679,Efferocytosis,nt06535
Primary dystonia,H00831,Regulation of kinetochore-microtubule interactions,nt06515
Primary dystonia,H00831,Autophagy,nt06532
Primary dystonia,H00831,Efferocytosis,nt06535
Primary dystonia,H00831,Cytoskeleton in muscle cells,nt06539
Leber congenital amaurosis,H00837,Regulation of kinetochore-microtubule interactions,nt06515
Congenital facial palsy with ptosis and velopharyngeal dysfunction,H02594,Regulation of kinetochore-microtubule interactions,nt06515
Oocyte/zygote/embryo maturation arrest,H01897,Regulation of kinetochore-microtubule interactions,nt06515
Oocyte/zygote/embryo maturation arrest,H01897,Efferocytosis,nt06535
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Chronic myeloid leukemia,H00004,Chronic myeloid leukemia,nt06276
Chronic lymphocytic leukemia,H00005,Double-strand break repair,nt06506
Burkitt lymphoma,H00008,Epstein-Barr virus (EBV),nt06165
Burkitt lymphoma,H00008,TNF signaling,nt06516
Burkitt lymphoma,H00008,TLR signaling,nt06517
Burkitt lymphoma,H00008,JAK-STAT signaling,nt06518
Burkitt lymphoma,H00008,RLR signaling,nt06519
Burkitt lymphoma,H00008,Apoptosis,nt06524
Burkitt lymphoma,H00008,TCR/BCR signaling,nt06537
Adult T-cell leukemia,H00009,Human T-cell leukemia virus 1 (HTLV-1),nt06160
Adult T-cell leukemia,H00009,TGFB signaling,nt06507
Adult T-cell leukemia,H00009,TNF signaling,nt06516
Adult T-cell leukemia,H00009,JAK-STAT signaling,nt06518
Adult T-cell leukemia,H00009,TCR/BCR signaling,nt06537
Small cell lung cancer,H00013,Small cell lung cancer,nt06267
Small cell lung cancer,H00013,Chromosome cohesion and segregation,nt06512
Small cell lung cancer,H00013,Apoptosis,nt06524
Non-small cell lung cancer,H00014,Non-small cell lung cancer,nt06266
Non-small cell lung cancer,H00014,Chromosome cohesion and segregation,nt06512
Non-small cell lung cancer,H00014,Calcium signaling,nt06528
Gastric cancer,H00018,Gastric cancer,nt06261
Gastric cancer,H00018,Base excision repair,nt06504
Gastric cancer,H00018,WNT signaling,nt06505
Pancreatic cancer,H00019,Pancreatic cancer,nt06262
Pancreatic cancer,H00019,Double-strand break repair,nt06506
Pancreatic cancer,H00019,Interstrand crosslink repair,nt06508
Colorectal cancer,H00020,Colorectal cancer,nt06260
Colorectal cancer,H00020,Mismatch repair,nt06503
Colorectal cancer,H00020,WNT signaling,nt06505
Colorectal cancer,H00020,TGFB signaling,nt06507
Colorectal cancer,H00020,Regulation of kinetochore-microtubule interactions,nt06515
Colorectal cancer,H00020,Apoptosis,nt06524
Bladder cancer,H00022,Bladder cancer,nt06265
Endometrial cancer,H00026,Endometrial cancer,nt06271
Endometrial cancer,H00026,WNT signaling,nt06505
Breast cancer,H00031,Breast cancer,nt06270
Breast cancer,H00031,Double-strand break repair,nt06506
Breast cancer,H00031,Interstrand crosslink repair,nt06508
Breast cancer,H00031,PI3K signaling,nt06530
Thyroid cancer,H00032,Thyroid cancer,nt06274
Melanoma,H00038,Melanoma,nt06268
Melanoma,H00038,Double-strand break repair,nt06506
Melanoma,H00038,Telomere length regulation,nt06510
Basal cell carcinoma,H00039,Basal cell carcinoma,nt06269
Basal cell carcinoma,H00039,HH signaling,nt06501
Kaposi sarcoma,H00041,Kaposi sarcoma-associated herpesvirus (KSHV),nt06164
Kaposi sarcoma,H00041,WNT signaling,nt06505
Kaposi sarcoma,H00041,Complement cascade,nt06513
Kaposi sarcoma,H00041,TNF signaling,nt06516
Kaposi sarcoma,H00041,TLR signaling,nt06517
Kaposi sarcoma,H00041,JAK-STAT signaling,nt06518
Kaposi sarcoma,H00041,Apoptosis,nt06524
Kaposi sarcoma,H00041,Autophagy,nt06532
Kaposi sarcoma,H00041,Chemokine signaling,nt06533
Glioma,H00042,Glioma,nt06273
Glioma,H00042,Calcium signaling,nt06528
Hepatocellular carcinoma,H00048,Hepatitis B virus (HBV),nt06162
Hepatocellular carcinoma,H00048,Hepatitis C virus (HCV),nt06163
Hepatocellular carcinoma,H00048,Hepatocellular carcinoma,nt06263
Hepatocellular carcinoma,H00048,WNT signaling,nt06505
Hepatocellular carcinoma,H00048,TGFB signaling,nt06507
Hepatocellular carcinoma,H00048,TNF signaling,nt06516
Hepatocellular carcinoma,H00048,TLR signaling,nt06517
Hepatocellular carcinoma,H00048,JAK-STAT signaling,nt06518
Hepatocellular carcinoma,H00048,RLR signaling,nt06519
Hepatocellular carcinoma,H00048,NLR signaling,nt06521
Hepatocellular carcinoma,H00048,Apoptosis,nt06524
Hepatocellular carcinoma,H00048,Calcium signaling,nt06528
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Hepatocellular carcinoma,H00048,Hepatitis B virus (HBV),nt06162
Hepatocellular carcinoma,H00048,Hepatitis C virus (HCV),nt06163
Hepatocellular carcinoma,H00048,Hepatocellular carcinoma,nt06263
Hepatocellular carcinoma,H00048,WNT signaling,nt06505
Hepatocellular carcinoma,H00048,TGFB signaling,nt06507
Hepatocellular carcinoma,H00048,TNF signaling,nt06516
Hepatocellular carcinoma,H00048,TLR signaling,nt06517
Hepatocellular carcinoma,H00048,JAK-STAT signaling,nt06518
Hepatocellular carcinoma,H00048,RLR signaling,nt06519
Hepatocellular carcinoma,H00048,NLR signaling,nt06521
Hepatocellular carcinoma,H00048,Apoptosis,nt06524
Hepatocellular carcinoma,H00048,Calcium signaling,nt06528
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Distal hereditary motor neuropathies,H00856,Regulation of kinetochore-microtubule interactions,nt06515
Spinocerebellar ataxia (SCA),H00063,Spinocerebellar ataxia,nt06462
Spinocerebellar ataxia (SCA),H00063,Pathways of neurodegeneration,nt06466
Spinocerebellar ataxia (SCA),H00063,Calcium signaling,nt06528
Spinocerebellar ataxia (SCA),H00063,Autophagy,nt06532
Isolated anhidrosis with normal sweat glands,H02281,Calcium signaling,nt06528
Charcot-Marie-Tooth disease,H00264,DNA replication,nt06509
Charcot-Marie-Tooth disease,H00264,Regulation of kinetochore-microtubule interactions,nt06515
Charcot-Marie-Tooth disease,H00264,Autophagy,nt06532
Charcot-Marie-Tooth disease,H00264,Mitophagy,nt06536
Charcot-Marie-Tooth disease,H00264,Cytoskeleton in muscle cells,nt06539
Type 1 diabetes mellitus,H00408,Hormone/cytokine signaling,nt06325
Mitochondrial DNA depletion syndrome,H00469,Base excision repair,nt06504
Mitochondrial DNA depletion syndrome,H00469,Mitophagy,nt06536
Progressive external ophthalmoplegia,H01118,Base excision repair,nt06504
Progressive external ophthalmoplegia,H01118,DNA replication,nt06509
Thrombocytopenia (THC),H00978,Apoptosis,nt06524
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Myocardial infarction,H01730,Coagulation cascade,nt06514
Charcot-Marie-Tooth disease,H00264,DNA replication,nt06509
Charcot-Marie-Tooth disease,H00264,Regulation of kinetochore-microtubule interactions,nt06515
