涉及疾病,涉及疾病的编号,药物,药物编号,药物链接
Parkinson disease,H00057,Safinamide mesylate,D10191,https://www.kegg.jp/entry/D10191
Parkinson disease,H00057,Tolcapone,D00786,https://www.kegg.jp/entry/D00786
Parkinson disease,H00057,Entacapone,D00781,https://www.kegg.jp/entry/D00781
Parkinson disease,H00057,Opicapone,D10825,https://www.kegg.jp/entry/D10825
Parkinson disease,H00057,Istradefylline,D04641,https://www.kegg.jp/entry/D04641
Parkinson disease,H00057,Pimavanserin tartrate,D08969,https://www.kegg.jp/entry/D08969
Parkinson disease,H00057,Carbidopa,D00558,https://www.kegg.jp/entry/D00558
Parkinsonian syndrome,H01600,Diphenhydramine hydrochloride,D00669,https://www.kegg.jp/entry/D00669
Parkinsonian syndrome,H01600,Trihexyphenidyl hydrochloride,D00787,https://www.kegg.jp/entry/D00787
Parkinsonian syndrome,H01600,Biperiden hydrochloride,D02246,https://www.kegg.jp/entry/D02246
Parkinsonian syndrome,H01600,Biperiden lactate,D02247,https://www.kegg.jp/entry/D02247
Parkinsonian syndrome,H01600,Profenamine hydrochloride,D01118,https://www.kegg.jp/entry/D01118
Parkinsonian syndrome,H01600,Benztropine mesylate,D00778,https://www.kegg.jp/entry/D00778
Parkinsonian syndrome,H01600,Levodopa,D00059,https://www.kegg.jp/entry/D00059
Parkinsonian syndrome,H01600,Carbidopa hydrate and levodopa,D00253,https://www.kegg.jp/entry/D00253
Parkinsonian syndrome,H01600,Amantadine hydrochloride,D00777,https://www.kegg.jp/entry/D00777
Parkinsonian syndrome,H01600,Tolcapone,D00786,https://www.kegg.jp/entry/D00786
Parkinsonian syndrome,H01600,Carbidopa,D00558,https://www.kegg.jp/entry/D00558
Parkinson disease,H00057,Droxidopa,D01277,https://www.kegg.jp/entry/D01277
Parkinson disease,H00057,Bromocriptine mesylate,D00780,https://www.kegg.jp/entry/D00780
Parkinson disease,H00057,Apomorphine hydrochloride,D02004,https://www.kegg.jp/entry/D02004
Parkinson disease,H00057,Levodopa,D00059,https://www.kegg.jp/entry/D00059
Parkinson disease,H00057,Carbidopa hydrate and levodopa,D00253,https://www.kegg.jp/entry/D00253
Parkinson disease,H00057,"Carbidopa, levodopa and entacapone",D10293,https://www.kegg.jp/entry/D10293
Parkinson disease,H00057,Amantadine hydrochloride,D00777,https://www.kegg.jp/entry/D00777
Parkinson disease,H00057,Ropinirole hydrochloride,D00784,https://www.kegg.jp/entry/D00784
Parkinson disease,H00057,Pramipexole dihydrochloride,D00559,https://www.kegg.jp/entry/D00559
Parkinson disease,H00057,Rotigotine,D05768,https://www.kegg.jp/entry/D05768
Parkinson disease,H00057,Selegiline hydrochloride,D00785,https://www.kegg.jp/entry/D00785
Parkinson disease,H00057,Rasagiline mesylate,D02562,https://www.kegg.jp/entry/D02562
Parkinson disease,H00057,Safinamide mesylate,D10191,https://www.kegg.jp/entry/D10191
Parkinson disease,H00057,Tolcapone,D00786,https://www.kegg.jp/entry/D00786
Parkinson disease,H00057,Entacapone,D00781,https://www.kegg.jp/entry/D00781
Parkinson disease,H00057,Opicapone,D10825,https://www.kegg.jp/entry/D10825
Parkinson disease,H00057,Istradefylline,D04641,https://www.kegg.jp/entry/D04641
Parkinson disease,H00057,Pimavanserin tartrate,D08969,https://www.kegg.jp/entry/D08969
Parkinson disease,H00057,Carbidopa,D00558,https://www.kegg.jp/entry/D00558
Parkinsonian syndrome,H01600,Diphenhydramine hydrochloride,D00669,https://www.kegg.jp/entry/D00669
Parkinsonian syndrome,H01600,Trihexyphenidyl hydrochloride,D00787,https://www.kegg.jp/entry/D00787
Parkinsonian syndrome,H01600,Biperiden hydrochloride,D02246,https://www.kegg.jp/entry/D02246
Parkinsonian syndrome,H01600,Biperiden lactate,D02247,https://www.kegg.jp/entry/D02247
Parkinsonian syndrome,H01600,Profenamine hydrochloride,D01118,https://www.kegg.jp/entry/D01118
Parkinsonian syndrome,H01600,Benztropine mesylate,D00778,https://www.kegg.jp/entry/D00778
Parkinsonian syndrome,H01600,Levodopa,D00059,https://www.kegg.jp/entry/D00059
Parkinsonian syndrome,H01600,Carbidopa hydrate and levodopa,D00253,https://www.kegg.jp/entry/D00253
Parkinsonian syndrome,H01600,Amantadine hydrochloride,D00777,https://www.kegg.jp/entry/D00777
Parkinsonian syndrome,H01600,Tolcapone,D00786,https://www.kegg.jp/entry/D00786
Parkinsonian syndrome,H01600,Carbidopa,D00558,https://www.kegg.jp/entry/D00558
Ovarian cancer,H00027,Cyclophosphamide,D00287,https://www.kegg.jp/entry/D00287
Ovarian cancer,H00027,Melphalan,D00369,https://www.kegg.jp/entry/D00369
Ovarian cancer,H00027,Thiotepa,D00583,https://www.kegg.jp/entry/D00583
Ovarian cancer,H00027,Gemcitabine hydrochloride,D01155,https://www.kegg.jp/entry/D01155
Ovarian cancer,H00027,Paclitaxel,D00491,https://www.kegg.jp/entry/D00491
Ovarian cancer,H00027,Topotecan hydrochloride,D02168,https://www.kegg.jp/entry/D02168
Ovarian cancer,H00027,Doxorubicin hydrochloride,D01275,https://www.kegg.jp/entry/D01275
Ovarian cancer,H00027,Bevacizumab,D06409,https://www.kegg.jp/entry/D06409
Ovarian cancer,H00027,Mirvetuximab soravtansine,D10954,https://www.kegg.jp/entry/D10954
Ovarian cancer,H00027,Cisplatin,D00275,https://www.kegg.jp/entry/D00275
Ovarian cancer,H00027,Carboplatin,D01363,https://www.kegg.jp/entry/D01363
Ovarian cancer,H00027,Olaparib,D09730,https://www.kegg.jp/entry/D09730
Ovarian cancer,H00027,Niraparib tosylate,D11895,https://www.kegg.jp/entry/D11895
Ovarian cancer,H00027,Rucaparib camsylate,D10982,https://www.kegg.jp/entry/D10982
Ovarian cancer,H00027,Altretamine,D02841,https://www.kegg.jp/entry/D02841
Parkinson disease,H00057,Droxidopa,D01277,https://www.kegg.jp/entry/D01277
Parkinson disease,H00057,Bromocriptine mesylate,D00780,https://www.kegg.jp/entry/D00780
Parkinson disease,H00057,Apomorphine hydrochloride,D02004,https://www.kegg.jp/entry/D02004
Parkinson disease,H00057,Levodopa,D00059,https://www.kegg.jp/entry/D00059
Parkinson disease,H00057,Carbidopa hydrate and levodopa,D00253,https://www.kegg.jp/entry/D00253
Parkinson disease,H00057,"Carbidopa, levodopa and entacapone",D10293,https://www.kegg.jp/entry/D10293
Parkinson disease,H00057,Amantadine hydrochloride,D00777,https://www.kegg.jp/entry/D00777
Parkinson disease,H00057,Ropinirole hydrochloride,D00784,https://www.kegg.jp/entry/D00784
Parkinson disease,H00057,Pramipexole dihydrochloride,D00559,https://www.kegg.jp/entry/D00559
Parkinson disease,H00057,Rotigotine,D05768,https://www.kegg.jp/entry/D05768
Parkinson disease,H00057,Selegiline hydrochloride,D00785,https://www.kegg.jp/entry/D00785
Parkinson disease,H00057,Rasagiline mesylate,D02562,https://www.kegg.jp/entry/D02562
Parkinson disease,H00057,Safinamide mesylate,D10191,https://www.kegg.jp/entry/D10191
Parkinson disease,H00057,Tolcapone,D00786,https://www.kegg.jp/entry/D00786
Parkinson disease,H00057,Entacapone,D00781,https://www.kegg.jp/entry/D00781
Parkinson disease,H00057,Opicapone,D10825,https://www.kegg.jp/entry/D10825
Parkinson disease,H00057,Istradefylline,D04641,https://www.kegg.jp/entry/D04641
Parkinson disease,H00057,Pimavanserin tartrate,D08969,https://www.kegg.jp/entry/D08969
Parkinson disease,H00057,Carbidopa,D00558,https://www.kegg.jp/entry/D00558
Parkinsonian syndrome,H01600,Diphenhydramine hydrochloride,D00669,https://www.kegg.jp/entry/D00669
Parkinsonian syndrome,H01600,Trihexyphenidyl hydrochloride,D00787,https://www.kegg.jp/entry/D00787
Parkinsonian syndrome,H01600,Biperiden hydrochloride,D02246,https://www.kegg.jp/entry/D02246
Parkinsonian syndrome,H01600,Biperiden lactate,D02247,https://www.kegg.jp/entry/D02247
Parkinsonian syndrome,H01600,Profenamine hydrochloride,D01118,https://www.kegg.jp/entry/D01118
Parkinsonian syndrome,H01600,Benztropine mesylate,D00778,https://www.kegg.jp/entry/D00778
Parkinsonian syndrome,H01600,Levodopa,D00059,https://www.kegg.jp/entry/D00059
Parkinsonian syndrome,H01600,Carbidopa hydrate and levodopa,D00253,https://www.kegg.jp/entry/D00253
Parkinsonian syndrome,H01600,Amantadine hydrochloride,D00777,https://www.kegg.jp/entry/D00777
Parkinsonian syndrome,H01600,Tolcapone,D00786,https://www.kegg.jp/entry/D00786
Parkinsonian syndrome,H01600,Carbidopa,D00558,https://www.kegg.jp/entry/D00558
Ovarian cancer,H00027,Cyclophosphamide,D00287,https://www.kegg.jp/entry/D00287
Ovarian cancer,H00027,Melphalan,D00369,https://www.kegg.jp/entry/D00369
Ovarian cancer,H00027,Thiotepa,D00583,https://www.kegg.jp/entry/D00583
Ovarian cancer,H00027,Gemcitabine hydrochloride,D01155,https://www.kegg.jp/entry/D01155
Ovarian cancer,H00027,Paclitaxel,D00491,https://www.kegg.jp/entry/D00491
Ovarian cancer,H00027,Topotecan hydrochloride,D02168,https://www.kegg.jp/entry/D02168
Ovarian cancer,H00027,Doxorubicin hydrochloride,D01275,https://www.kegg.jp/entry/D01275
Ovarian cancer,H00027,Bevacizumab,D06409,https://www.kegg.jp/entry/D06409
Ovarian cancer,H00027,Mirvetuximab soravtansine,D10954,https://www.kegg.jp/entry/D10954
Ovarian cancer,H00027,Cisplatin,D00275,https://www.kegg.jp/entry/D00275
Ovarian cancer,H00027,Carboplatin,D01363,https://www.kegg.jp/entry/D01363
Ovarian cancer,H00027,Olaparib,D09730,https://www.kegg.jp/entry/D09730
Ovarian cancer,H00027,Niraparib tosylate,D11895,https://www.kegg.jp/entry/D11895
Ovarian cancer,H00027,Rucaparib camsylate,D10982,https://www.kegg.jp/entry/D10982
Ovarian cancer,H00027,Altretamine,D02841,https://www.kegg.jp/entry/D02841
Parkinson disease,H00057,Droxidopa,D01277,https://www.kegg.jp/entry/D01277
Parkinson disease,H00057,Bromocriptine mesylate,D00780,https://www.kegg.jp/entry/D00780
Parkinson disease,H00057,Apomorphine hydrochloride,D02004,https://www.kegg.jp/entry/D02004
Parkinson disease,H00057,Levodopa,D00059,https://www.kegg.jp/entry/D00059
Parkinson disease,H00057,Carbidopa hydrate and levodopa,D00253,https://www.kegg.jp/entry/D00253
Parkinson disease,H00057,"Carbidopa, levodopa and entacapone",D10293,https://www.kegg.jp/entry/D10293
Parkinson disease,H00057,Amantadine hydrochloride,D00777,https://www.kegg.jp/entry/D00777
Parkinson disease,H00057,Ropinirole hydrochloride,D00784,https://www.kegg.jp/entry/D00784
Parkinson disease,H00057,Pramipexole dihydrochloride,D00559,https://www.kegg.jp/entry/D00559
Parkinson disease,H00057,Rotigotine,D05768,https://www.kegg.jp/entry/D05768
Parkinson disease,H00057,Selegiline hydrochloride,D00785,https://www.kegg.jp/entry/D00785
Parkinson disease,H00057,Rasagiline mesylate,D02562,https://www.kegg.jp/entry/D02562
Parkinson disease,H00057,Safinamide mesylate,D10191,https://www.kegg.jp/entry/D10191
Parkinson disease,H00057,Tolcapone,D00786,https://www.kegg.jp/entry/D00786
Parkinson disease,H00057,Entacapone,D00781,https://www.kegg.jp/entry/D00781
Parkinson disease,H00057,Opicapone,D10825,https://www.kegg.jp/entry/D10825
Parkinson disease,H00057,Istradefylline,D04641,https://www.kegg.jp/entry/D04641
Parkinson disease,H00057,Pimavanserin tartrate,D08969,https://www.kegg.jp/entry/D08969
Parkinson disease,H00057,Carbidopa,D00558,https://www.kegg.jp/entry/D00558
Parkinsonian syndrome,H01600,Diphenhydramine hydrochloride,D00669,https://www.kegg.jp/entry/D00669
Parkinsonian syndrome,H01600,Trihexyphenidyl hydrochloride,D00787,https://www.kegg.jp/entry/D00787
Parkinsonian syndrome,H01600,Biperiden hydrochloride,D02246,https://www.kegg.jp/entry/D02246
Parkinsonian syndrome,H01600,Biperiden lactate,D02247,https://www.kegg.jp/entry/D02247
Parkinsonian syndrome,H01600,Profenamine hydrochloride,D01118,https://www.kegg.jp/entry/D01118
Parkinsonian syndrome,H01600,Benztropine mesylate,D00778,https://www.kegg.jp/entry/D00778
Parkinsonian syndrome,H01600,Levodopa,D00059,https://www.kegg.jp/entry/D00059
Parkinsonian syndrome,H01600,Carbidopa hydrate and levodopa,D00253,https://www.kegg.jp/entry/D00253
Parkinsonian syndrome,H01600,Amantadine hydrochloride,D00777,https://www.kegg.jp/entry/D00777
Parkinsonian syndrome,H01600,Tolcapone,D00786,https://www.kegg.jp/entry/D00786
Parkinsonian syndrome,H01600,Carbidopa,D00558,https://www.kegg.jp/entry/D00558
Ovarian cancer,H00027,Cyclophosphamide,D00287,https://www.kegg.jp/entry/D00287
Ovarian cancer,H00027,Melphalan,D00369,https://www.kegg.jp/entry/D00369
Ovarian cancer,H00027,Thiotepa,D00583,https://www.kegg.jp/entry/D00583
Ovarian cancer,H00027,Gemcitabine hydrochloride,D01155,https://www.kegg.jp/entry/D01155
Ovarian cancer,H00027,Paclitaxel,D00491,https://www.kegg.jp/entry/D00491
Ovarian cancer,H00027,Topotecan hydrochloride,D02168,https://www.kegg.jp/entry/D02168
Ovarian cancer,H00027,Doxorubicin hydrochloride,D01275,https://www.kegg.jp/entry/D01275
Ovarian cancer,H00027,Bevacizumab,D06409,https://www.kegg.jp/entry/D06409
Ovarian cancer,H00027,Mirvetuximab soravtansine,D10954,https://www.kegg.jp/entry/D10954
Ovarian cancer,H00027,Cisplatin,D00275,https://www.kegg.jp/entry/D00275
Ovarian cancer,H00027,Carboplatin,D01363,https://www.kegg.jp/entry/D01363
Ovarian cancer,H00027,Olaparib,D09730,https://www.kegg.jp/entry/D09730
Ovarian cancer,H00027,Niraparib tosylate,D11895,https://www.kegg.jp/entry/D11895
Ovarian cancer,H00027,Rucaparib camsylate,D10982,https://www.kegg.jp/entry/D10982
Ovarian cancer,H00027,Altretamine,D02841,https://www.kegg.jp/entry/D02841
Parkinson disease,H00057,Droxidopa,D01277,https://www.kegg.jp/entry/D01277
Parkinson disease,H00057,Bromocriptine mesylate,D00780,https://www.kegg.jp/entry/D00780
Parkinson disease,H00057,Apomorphine hydrochloride,D02004,https://www.kegg.jp/entry/D02004
Parkinson disease,H00057,Levodopa,D00059,https://www.kegg.jp/entry/D00059
Parkinson disease,H00057,Carbidopa hydrate and levodopa,D00253,https://www.kegg.jp/entry/D00253
Parkinson disease,H00057,"Carbidopa, levodopa and entacapone",D10293,https://www.kegg.jp/entry/D10293
Parkinson disease,H00057,Amantadine hydrochloride,D00777,https://www.kegg.jp/entry/D00777
Parkinson disease,H00057,Ropinirole hydrochloride,D00784,https://www.kegg.jp/entry/D00784
Parkinson disease,H00057,Pramipexole dihydrochloride,D00559,https://www.kegg.jp/entry/D00559
Parkinson disease,H00057,Rotigotine,D05768,https://www.kegg.jp/entry/D05768
Parkinson disease,H00057,Selegiline hydrochloride,D00785,https://www.kegg.jp/entry/D00785
Parkinson disease,H00057,Rasagiline mesylate,D02562,https://www.kegg.jp/entry/D02562
Parkinson disease,H00057,Safinamide mesylate,D10191,https://www.kegg.jp/entry/D10191
Parkinson disease,H00057,Tolcapone,D00786,https://www.kegg.jp/entry/D00786
Parkinson disease,H00057,Entacapone,D00781,https://www.kegg.jp/entry/D00781
Parkinson disease,H00057,Opicapone,D10825,https://www.kegg.jp/entry/D10825
Parkinson disease,H00057,Istradefylline,D04641,https://www.kegg.jp/entry/D04641
Parkinson disease,H00057,Pimavanserin tartrate,D08969,https://www.kegg.jp/entry/D08969
Parkinson disease,H00057,Carbidopa,D00558,https://www.kegg.jp/entry/D00558
Parkinsonian syndrome,H01600,Diphenhydramine hydrochloride,D00669,https://www.kegg.jp/entry/D00669
Parkinsonian syndrome,H01600,Trihexyphenidyl hydrochloride,D00787,https://www.kegg.jp/entry/D00787
Parkinsonian syndrome,H01600,Biperiden hydrochloride,D02246,https://www.kegg.jp/entry/D02246
Parkinsonian syndrome,H01600,Biperiden lactate,D02247,https://www.kegg.jp/entry/D02247
Parkinsonian syndrome,H01600,Profenamine hydrochloride,D01118,https://www.kegg.jp/entry/D01118
Parkinsonian syndrome,H01600,Benztropine mesylate,D00778,https://www.kegg.jp/entry/D00778
Parkinsonian syndrome,H01600,Levodopa,D00059,https://www.kegg.jp/entry/D00059
Parkinsonian syndrome,H01600,Carbidopa hydrate and levodopa,D00253,https://www.kegg.jp/entry/D00253
Parkinsonian syndrome,H01600,Amantadine hydrochloride,D00777,https://www.kegg.jp/entry/D00777
Parkinsonian syndrome,H01600,Tolcapone,D00786,https://www.kegg.jp/entry/D00786
Parkinsonian syndrome,H01600,Carbidopa,D00558,https://www.kegg.jp/entry/D00558
Parkinson disease,H00057,Droxidopa,D01277,https://www.kegg.jp/entry/D01277
Parkinson disease,H00057,Bromocriptine mesylate,D00780,https://www.kegg.jp/entry/D00780
Parkinson disease,H00057,Apomorphine hydrochloride,D02004,https://www.kegg.jp/entry/D02004
Parkinson disease,H00057,Levodopa,D00059,https://www.kegg.jp/entry/D00059
Parkinson disease,H00057,Carbidopa hydrate and levodopa,D00253,https://www.kegg.jp/entry/D00253
Parkinson disease,H00057,"Carbidopa, levodopa and entacapone",D10293,https://www.kegg.jp/entry/D10293
Parkinson disease,H00057,Amantadine hydrochloride,D00777,https://www.kegg.jp/entry/D00777
Parkinson disease,H00057,Ropinirole hydrochloride,D00784,https://www.kegg.jp/entry/D00784
Parkinson disease,H00057,Pramipexole dihydrochloride,D00559,https://www.kegg.jp/entry/D00559
Parkinson disease,H00057,Rotigotine,D05768,https://www.kegg.jp/entry/D05768
Parkinson disease,H00057,Selegiline hydrochloride,D00785,https://www.kegg.jp/entry/D00785
Parkinson disease,H00057,Rasagiline mesylate,D02562,https://www.kegg.jp/entry/D02562
Parkinson disease,H00057,Safinamide mesylate,D10191,https://www.kegg.jp/entry/D10191
Parkinson disease,H00057,Tolcapone,D00786,https://www.kegg.jp/entry/D00786
Parkinson disease,H00057,Entacapone,D00781,https://www.kegg.jp/entry/D00781
Parkinson disease,H00057,Opicapone,D10825,https://www.kegg.jp/entry/D10825
Parkinson disease,H00057,Istradefylline,D04641,https://www.kegg.jp/entry/D04641
Parkinson disease,H00057,Pimavanserin tartrate,D08969,https://www.kegg.jp/entry/D08969
Parkinson disease,H00057,Carbidopa,D00558,https://www.kegg.jp/entry/D00558
Parkinsonian syndrome,H01600,Diphenhydramine hydrochloride,D00669,https://www.kegg.jp/entry/D00669
Parkinsonian syndrome,H01600,Trihexyphenidyl hydrochloride,D00787,https://www.kegg.jp/entry/D00787
Parkinsonian syndrome,H01600,Biperiden hydrochloride,D02246,https://www.kegg.jp/entry/D02246
Parkinsonian syndrome,H01600,Biperiden lactate,D02247,https://www.kegg.jp/entry/D02247
Parkinsonian syndrome,H01600,Profenamine hydrochloride,D01118,https://www.kegg.jp/entry/D01118
Parkinsonian syndrome,H01600,Benztropine mesylate,D00778,https://www.kegg.jp/entry/D00778
Parkinsonian syndrome,H01600,Levodopa,D00059,https://www.kegg.jp/entry/D00059
Parkinsonian syndrome,H01600,Carbidopa hydrate and levodopa,D00253,https://www.kegg.jp/entry/D00253
Parkinsonian syndrome,H01600,Amantadine hydrochloride,D00777,https://www.kegg.jp/entry/D00777
Parkinsonian syndrome,H01600,Tolcapone,D00786,https://www.kegg.jp/entry/D00786
Parkinsonian syndrome,H01600,Carbidopa,D00558,https://www.kegg.jp/entry/D00558
Myocardial infarction,H01730,Aspirin,D00109,https://www.kegg.jp/entry/D00109
Myocardial infarction,H01730,Clopidogrel bisulfate,D00769,https://www.kegg.jp/entry/D00769
Myocardial infarction,H01730,Prasugrel hydrochloride,D05597,https://www.kegg.jp/entry/D05597
Myocardial infarction,H01730,Ticagrelor,D09017,https://www.kegg.jp/entry/D09017
Myocardial infarction,H01730,Cangrelor tetrasodium,D03361,https://www.kegg.jp/entry/D03361
Myocardial infarction,H01730,Vorapaxar sulfate,D09766,https://www.kegg.jp/entry/D09766
Myocardial infarction,H01730,Reteplase,D05721,https://www.kegg.jp/entry/D05721
Myocardial infarction,H01730,Norepinephrine bitartrate,D05206,https://www.kegg.jp/entry/D05206
Myocardial infarction,H01730,Dopamine hydrochloride,D00633,https://www.kegg.jp/entry/D00633
Myocardial infarction,H01730,Nitroglycerin,D00515,https://www.kegg.jp/entry/D00515
Myocardial infarction,H01730,Niacin,D00049,https://www.kegg.jp/entry/D00049
Myocardial infarction,H01730,Propranolol hydrochloride,D00483,https://www.kegg.jp/entry/D00483
Myocardial infarction,H01730,Metoprolol tartrate,D00601,https://www.kegg.jp/entry/D00601
Myocardial infarction,H01730,Atenolol,D00235,https://www.kegg.jp/entry/D00235
Myocardial infarction,H01730,Lovastatin,D00359,https://www.kegg.jp/entry/D00359
Myocardial infarction,H01730,Atorvastatin calcium,D02258,https://www.kegg.jp/entry/D02258
Myocardial infarction,H01730,Alirocumab,D10335,https://www.kegg.jp/entry/D10335
Parkinson disease,H00057,Droxidopa,D01277,https://www.kegg.jp/entry/D01277
Parkinson disease,H00057,Bromocriptine mesylate,D00780,https://www.kegg.jp/entry/D00780
Parkinson disease,H00057,Apomorphine hydrochloride,D02004,https://www.kegg.jp/entry/D02004
Parkinson disease,H00057,Levodopa,D00059,https://www.kegg.jp/entry/D00059
Parkinson disease,H00057,Carbidopa hydrate and levodopa,D00253,https://www.kegg.jp/entry/D00253
Parkinson disease,H00057,"Carbidopa, levodopa and entacapone",D10293,https://www.kegg.jp/entry/D10293
Parkinson disease,H00057,Amantadine hydrochloride,D00777,https://www.kegg.jp/entry/D00777
Parkinson disease,H00057,Ropinirole hydrochloride,D00784,https://www.kegg.jp/entry/D00784
Parkinson disease,H00057,Pramipexole dihydrochloride,D00559,https://www.kegg.jp/entry/D00559
Parkinson disease,H00057,Rotigotine,D05768,https://www.kegg.jp/entry/D05768
Parkinson disease,H00057,Selegiline hydrochloride,D00785,https://www.kegg.jp/entry/D00785
Parkinson disease,H00057,Rasagiline mesylate,D02562,https://www.kegg.jp/entry/D02562
Parkinson disease,H00057,Safinamide mesylate,D10191,https://www.kegg.jp/entry/D10191
Parkinson disease,H00057,Tolcapone,D00786,https://www.kegg.jp/entry/D00786
Parkinson disease,H00057,Entacapone,D00781,https://www.kegg.jp/entry/D00781
Parkinson disease,H00057,Opicapone,D10825,https://www.kegg.jp/entry/D10825
Parkinson disease,H00057,Istradefylline,D04641,https://www.kegg.jp/entry/D04641
Parkinson disease,H00057,Pimavanserin tartrate,D08969,https://www.kegg.jp/entry/D08969
Parkinson disease,H00057,Carbidopa,D00558,https://www.kegg.jp/entry/D00558
Parkinson disease,H00057,Droxidopa,D01277,https://www.kegg.jp/entry/D01277
Parkinson disease,H00057,Bromocriptine mesylate,D00780,https://www.kegg.jp/entry/D00780
Parkinson disease,H00057,Apomorphine hydrochloride,D02004,https://www.kegg.jp/entry/D02004
Parkinson disease,H00057,Levodopa,D00059,https://www.kegg.jp/entry/D00059
Parkinson disease,H00057,Carbidopa hydrate and levodopa,D00253,https://www.kegg.jp/entry/D00253
Parkinson disease,H00057,"Carbidopa, levodopa and entacapone",D10293,https://www.kegg.jp/entry/D10293
Parkinson disease,H00057,Amantadine hydrochloride,D00777,https://www.kegg.jp/entry/D00777
Parkinson disease,H00057,Ropinirole hydrochloride,D00784,https://www.kegg.jp/entry/D00784
Parkinson disease,H00057,Pramipexole dihydrochloride,D00559,https://www.kegg.jp/entry/D00559
Parkinson disease,H00057,Rotigotine,D05768,https://www.kegg.jp/entry/D05768
Parkinson disease,H00057,Selegiline hydrochloride,D00785,https://www.kegg.jp/entry/D00785
Parkinson disease,H00057,Rasagiline mesylate,D02562,https://www.kegg.jp/entry/D02562
Parkinson disease,H00057,Safinamide mesylate,D10191,https://www.kegg.jp/entry/D10191
Parkinson disease,H00057,Tolcapone,D00786,https://www.kegg.jp/entry/D00786
Parkinson disease,H00057,Entacapone,D00781,https://www.kegg.jp/entry/D00781
Parkinson disease,H00057,Opicapone,D10825,https://www.kegg.jp/entry/D10825
Parkinson disease,H00057,Istradefylline,D04641,https://www.kegg.jp/entry/D04641
Parkinson disease,H00057,Pimavanserin tartrate,D08969,https://www.kegg.jp/entry/D08969
Parkinson disease,H00057,Carbidopa,D00558,https://www.kegg.jp/entry/D00558
Parkinsonian syndrome,H01600,Diphenhydramine hydrochloride,D00669,https://www.kegg.jp/entry/D00669
Parkinsonian syndrome,H01600,Trihexyphenidyl hydrochloride,D00787,https://www.kegg.jp/entry/D00787
Parkinsonian syndrome,H01600,Biperiden hydrochloride,D02246,https://www.kegg.jp/entry/D02246
Parkinsonian syndrome,H01600,Biperiden lactate,D02247,https://www.kegg.jp/entry/D02247
Parkinsonian syndrome,H01600,Profenamine hydrochloride,D01118,https://www.kegg.jp/entry/D01118
Parkinsonian syndrome,H01600,Benztropine mesylate,D00778,https://www.kegg.jp/entry/D00778
Parkinsonian syndrome,H01600,Levodopa,D00059,https://www.kegg.jp/entry/D00059
Parkinsonian syndrome,H01600,Carbidopa hydrate and levodopa,D00253,https://www.kegg.jp/entry/D00253
Parkinsonian syndrome,H01600,Amantadine hydrochloride,D00777,https://www.kegg.jp/entry/D00777
Parkinsonian syndrome,H01600,Tolcapone,D00786,https://www.kegg.jp/entry/D00786
Parkinsonian syndrome,H01600,Carbidopa,D00558,https://www.kegg.jp/entry/D00558
Parkinson disease,H00057,Droxidopa,D01277,https://www.kegg.jp/entry/D01277
Parkinson disease,H00057,Bromocriptine mesylate,D00780,https://www.kegg.jp/entry/D00780
Parkinson disease,H00057,Apomorphine hydrochloride,D02004,https://www.kegg.jp/entry/D02004
Parkinson disease,H00057,Levodopa,D00059,https://www.kegg.jp/entry/D00059
Parkinson disease,H00057,Carbidopa hydrate and levodopa,D00253,https://www.kegg.jp/entry/D00253
Parkinson disease,H00057,"Carbidopa, levodopa and entacapone",D10293,https://www.kegg.jp/entry/D10293
Parkinson disease,H00057,Amantadine hydrochloride,D00777,https://www.kegg.jp/entry/D00777
Parkinson disease,H00057,Ropinirole hydrochloride,D00784,https://www.kegg.jp/entry/D00784
Parkinson disease,H00057,Pramipexole dihydrochloride,D00559,https://www.kegg.jp/entry/D00559
Parkinson disease,H00057,Rotigotine,D05768,https://www.kegg.jp/entry/D05768
Parkinson disease,H00057,Selegiline hydrochloride,D00785,https://www.kegg.jp/entry/D00785
Parkinson disease,H00057,Rasagiline mesylate,D02562,https://www.kegg.jp/entry/D02562
Parkinson disease,H00057,Safinamide mesylate,D10191,https://www.kegg.jp/entry/D10191
Parkinson disease,H00057,Tolcapone,D00786,https://www.kegg.jp/entry/D00786
Parkinson disease,H00057,Entacapone,D00781,https://www.kegg.jp/entry/D00781
Parkinson disease,H00057,Opicapone,D10825,https://www.kegg.jp/entry/D10825
Parkinson disease,H00057,Istradefylline,D04641,https://www.kegg.jp/entry/D04641
Parkinson disease,H00057,Pimavanserin tartrate,D08969,https://www.kegg.jp/entry/D08969
Parkinson disease,H00057,Carbidopa,D00558,https://www.kegg.jp/entry/D00558
Parkinsonian syndrome,H01600,Diphenhydramine hydrochloride,D00669,https://www.kegg.jp/entry/D00669
Parkinsonian syndrome,H01600,Trihexyphenidyl hydrochloride,D00787,https://www.kegg.jp/entry/D00787
Parkinsonian syndrome,H01600,Biperiden hydrochloride,D02246,https://www.kegg.jp/entry/D02246
Parkinsonian syndrome,H01600,Biperiden lactate,D02247,https://www.kegg.jp/entry/D02247
Parkinsonian syndrome,H01600,Profenamine hydrochloride,D01118,https://www.kegg.jp/entry/D01118
Parkinsonian syndrome,H01600,Benztropine mesylate,D00778,https://www.kegg.jp/entry/D00778
Parkinsonian syndrome,H01600,Levodopa,D00059,https://www.kegg.jp/entry/D00059
